UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label
10145,东北大学,2760,辽宁,2484643,4389,566.1068580542,2013,13.67,0.0316301703,理科,119,23386,22
10145,东北大学,2760,辽宁,2707765,4390,616.8029612756,2014,65.8,0.0402597403,理科,126,23508,25
10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,理科,22,29207,26
10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,文科,10,10464,23
10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,理科,17,40420,27
10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,文科,4,10919,21
10200,东北师范大学,3052,吉林,866758,2746.6,315.5748925945,2011,10.81,0,理科,9,26157,24
10200,东北师范大学,3052,吉林,1056883,2749.41,384.4035629462,2012,11.08,0.0248338369,理科,8,30392,25
10200,东北师范大学,3052,吉林,1193924,2750.4,434.0910413031,2013,12.73,0.0250608273,文科,13,10000,19
10200,东北师范大学,3052,吉林,1298146,2751.28,471.833473874,2014,65.27,0.0451298701,文科,13,10176,20
10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,文科,17,12062,23
10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,理科,25,29922,31
10225,东北林业大学,3294,黑龙江,1258200,3834.01,328.1681581425,2012,5.02,0,文科,3,10919,21
10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,文科,3,6129,23
10225,东北林业大学,3294,黑龙江,1503938,3833,392.3657709366,2015,63.42,0,文科,6,14000,26
10225,东北林业大学,3294,黑龙江,1438293,3835.02,375.0418511507,2014,61.89,0,理科,16,40420,31
10225,东北林业大学,3294,黑龙江,1503938,3833,392.3657709366,2015,63.42,0,理科,24,43106,34
10225,东北林业大学,3294,黑龙江,1369158,3834.04,357.1058204922,2013,4.21,0,理科,26,29207,26
10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,理科,19,29550,24
10225,东北林业大学,3294,黑龙江,1369158,3834.04,357.1058204922,2013,4.21,0,文科,4,10000,19
10225,东北林业大学,3294,黑龙江,1258200,3834.01,328.1681581425,2012,5.02,0,理科,23,30392,25
10225,东北林业大学,3294,黑龙江,1438293,3835.02,375.0418511507,2014,61.89,0,文科,4,12924,21
10220,东北石油大学,3330,黑龙江,1369158,3834.04,357.1058204922,2013,1.86,0,理科,60,29207,26
10220,东北石油大学,3330,黑龙江,1503938,3833,392.3657709366,2015,61.96,0,理科,46,43106,34
10220,东北石油大学,3330,黑龙江,1258200,3834.01,328.1681581425,2012,0,0,理科,5,30392,25
10220,东北石油大学,3330,黑龙江,1036860,3833.35,270.4840413737,2011,0,0,理科,5,28693,24
10220,东北石油大学,3330,黑龙江,1438293,3835.02,375.0418511507,2014,60.8,0,理科,46,40420,31
10173,东北财经大学,2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,文科,16,7889,19
10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,文科,21,10124,17
10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,理科,31,26520,25
10173,东北财经大学,2246,辽宁,1845727,4375,421.8804571429,2011,3.38,0,文科,20,4033,23
10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,理科,19,19301,19
10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,文科,29,12924,17
10173,东北财经大学,2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,理科,24,24483,25
10173,东北财经大学,2246,辽宁,2484643,4389,566.1068580542,2013,3.15,0,文科,29,5535,19
10173,东北财经大学,2246,辽宁,1845727,4375,421.8804571429,2011,3.38,0,理科,20,15200,19
10173,东北财经大学,2246,辽宁,2484643,4389,566.1068580542,2013,3.15,0,理科,31,17253,23
10255,东华大学,1462,上海,2160212,2415.15,894.4421671532,2014,64.15,0.076461039,理科,32,22822,23
10255,东华大学,1462,上海,1716598,2302.66,745.4847871592,2011,7.8,0.0374089069,理科,36,21993,21
10255,东华大学,1462,上海,1919569,2347.46,817.7217077181,2012,7.73,0.032326284,理科,36,23025,20
10255,东华大学,1462,上海,2356094,2426,971.1846661171,2015,63.71,0.036349454,理科,32,21782,24
10255,东华大学,1462,上海,2018172,2380.43,847.8182513243,2013,10.43,0.0311435523,理科,37,19489,21
10286,东南大学,1380,江苏,5916175,7939.49,745.1580643089,2014,68.96,0.1003246753,理科,62,8187,16
10286,东南大学,1380,江苏,4911027,7898.8006682342,621.7433767825,2012,19.22,0.0779456193,理科,50,11297,14
10286,东南大学,1380,江苏,6508832,7960,817.6924623116,2015,69.69,0.0962558502,理科,67,9918,16
10286,东南大学,1380,江苏,5405822,7919.98,682.555006452,2013,21.17,0.0793187348,理科,65,9113,13
10286,东南大学,1380,江苏,4142548,7869.34,526.4161924634,2011,19.73,0.0724696356,理科,50,9234,15
10533,中南大学,662,湖南,2450167,6690.6,366.2103548262,2014,70.54,0.0943181818,文科,36,4715,13
10533,中南大学,662,湖南,1603796,6570.1,244.10526476,2011,27.77,0.0761133603,文科,22,6152,19
10533,中南大学,662,湖南,1966956,6595.6,298.2224513312,2012,27.62,0.0645015106,理科,202,13994,16
10533,中南大学,662,湖南,2450167,6690.6,366.2103548262,2014,70.54,0.0943181818,理科,280,13974,18
10533,中南大学,662,湖南,2215423,6638.93,333.7018164072,2013,26.1,0.0695863747,文科,27,5533,14
10533,中南大学,662,湖南,2704846,6737,401.4911681757,2015,72.28,0.0925117005,文科,32,3992,16
10533,中南大学,662,湖南,1603796,6570.1,244.10526476,2011,27.77,0.0761133603,理科,205,15261,16
10533,中南大学,662,湖南,1966956,6595.6,298.2224513312,2012,27.62,0.0645015106,文科,20,6024,17
10533,中南大学,662,湖南,2215423,6638.93,333.7018164072,2013,26.1,0.0695863747,理科,293,12514,16
10533,中南大学,662,湖南,2704846,6737,401.4911681757,2015,72.28,0.0925117005,理科,280,12207,20
10538,中南林业科技大学,659,湖南,2704846,6737,401.4911681757,2015,62.15,0,文科,6,14000,26
10538,中南林业科技大学,659,湖南,2704846,6737,401.4911681757,2015,62.15,0,理科,94,43106,34
10520,中南财经政法大学,979,湖北,1963226,5758,340.9562348038,2012,5.87,0.049244713,文科,100,3731,18
10520,中南财经政法大学,979,湖北,1963226,5758,340.9562348038,2012,5.87,0.049244713,理科,125,21193,18
10520,中南财经政法大学,979,湖北,2466849,5799,425.3921365753,2014,62.06,0.0574675325,理科,129,14695,19
10520,中南财经政法大学,979,湖北,2736704,5816,470.5474552957,2015,64.04,0.0580343214,理科,126,14841,21
10520,中南财经政法大学,979,湖北,2466849,5799,425.3921365753,2014,62.06,0.0574675325,文科,118,3947,12
10520,中南财经政法大学,979,湖北,2225045,5779,385.0224952414,2013,5.13,0.0469586375,文科,110,7078,13
10520,中南财经政法大学,979,湖北,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,文科,97,3251,16
10520,中南财经政法大学,979,湖北,2736704,5816,470.5474552957,2015,64.04,0.0580343214,文科,113,3295,15
10520,中南财经政法大学,979,湖北,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,理科,120,13535,20
10520,中南财经政法大学,979,湖北,2225045,5779,385.0224952414,2013,5.13,0.0469586375,理科,136,15752,17
10002,中国人民大学,2124,北京,2133083,2152,991.2095724907,2015,78.71,0.5538221529,理科,48,529,6
10002,中国人民大学,2124,北京,1950056,2114.8,922.0994893134,2014,72.36,0.5,理科,37,613,4
10002,中国人民大学,2124,北京,1950056,2114.8,922.0994893134,2014,72.36,0.5,文科,38,139,4
10002,中国人民大学,2124,北京,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,文科,35,107,4
10002,中国人民大学,2124,北京,1787940,2069.3,864.0313149374,2013,28.36,0.5571776156,文科,39,176,4
10002,中国人民大学,2124,北京,1787940,2069.3,864.0313149374,2013,28.36,0.5571776156,理科,38,772,4
10002,中国人民大学,2124,北京,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,文科,36,113,3
10002,中国人民大学,2124,北京,2133083,2152,991.2095724907,2015,78.71,0.5538221529,文科,44,160,4
10002,中国人民大学,2124,北京,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,理科,34,519,4
19002,中国人民大学(苏州校区),2124,江苏,6508832,7960,817.6924623116,2015,78.71,0.5538221529,文科,10,3285,15
10002,中国人民大学,2124,北京,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,理科,34,625,4
19002,中国人民大学(苏州校区),2124,江苏,5405822,7919.98,682.555006452,2013,28.36,0.5571776156,理科,6,3260,8
19002,中国人民大学(苏州校区),2124,江苏,5916175,7939.49,745.1580643089,2014,72.36,0.5,理科,10,2579,31
19002,中国人民大学(苏州校区),2124,江苏,5405822,7919.98,682.555006452,2013,28.36,0.5571776156,文科,6,2693,8
19002,中国人民大学(苏州校区),2124,江苏,6508832,7960,817.6924623116,2015,78.71,0.5538221529,理科,10,43106,15
19002,中国人民大学(苏州校区),2124,江苏,5916175,7939.49,745.1580643089,2014,72.36,0.5,文科,10,1491,12
10033,中国传媒大学,2140,北京,1411358,1961.9,719.3832509302,2011,0,0,理科,24,9736,18
10033,中国传媒大学,2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,理科,28,43106,18
10033,中国传媒大学,2140,北京,1787940,2069.3,864.0313149374,2013,0,0,理科,26,11180,13
10033,中国传媒大学,2140,北京,1625193,2018.6,805.1089864262,2012,0,0,文科,19,1111,10
10033,中国传媒大学,2140,北京,1950056,2114.8,922.0994893134,2014,0,0.1332792208,文科,17,2074,10
10033,中国传媒大学,2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,文科,21,1778,14
10033,中国传媒大学,2140,北京,1411358,1961.9,719.3832509302,2011,0,0,文科,13,1650,10
10033,中国传媒大学,2140,北京,1787940,2069.3,864.0313149374,2013,0,0,文科,18,1484,10
10033,中国传媒大学,2140,北京,1625193,2018.6,805.1089864262,2012,0,0,理科,26,16645,15
10033,中国传媒大学,2140,北京,1950056,2114.8,922.0994893134,2014,0,0.1332792208,理科,25,9143,31
10019,中国农业大学,1398,北京,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,理科,43,16868,18
10019,中国农业大学,1398,北京,1787940,2069.3,864.0313149374,2013,18.1,0.1192214112,理科,49,14354,20
10019,中国农业大学,1398,北京,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,文科,5,7098,17
10019,中国农业大学,1398,北京,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,文科,5,6739,17
10019,中国农业大学,1398,北京,2133083,2152,991.2095724907,2015,68.46,0.1238689548,文科,8,7341,22
10019,中国农业大学,1398,北京,1411358,1961.9,719.3832509302,2011,20,0.1089068826,理科,45,18276,18
10019,中国农业大学,1398,北京,1787940,2069.3,864.0313149374,2013,18.1,0.1192214112,文科,6,5744,16
10019,中国农业大学,1398,北京,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,理科,50,19521,21
10019,中国农业大学,1398,北京,2133083,2152,991.2095724907,2015,68.46,0.1238689548,理科,49,17050,21
10159,中国医科大学,2248,辽宁,2222670,4383,507.1115674196,2012,4.19,0,理科,37,30392,23
10159,中国医科大学,2248,辽宁,2484643,4389,566.1068580542,2013,4.37,0,理科,47,25164,24
10159,中国医科大学,2248,辽宁,2707765,4390,616.8029612756,2014,61.85,0,理科,35,28119,31
10159,中国医科大学,2248,辽宁,2862658,4391,651.9375996356,2015,63.04,0,理科,25,43106,28
10159,中国医科大学,2248,辽宁,1845727,4375,421.8804571429,2011,3.96,0,理科,37,22217,24
11415,中国地质大学(北京),988,北京,1787940,2069.3,864.0313149374,2013,11.87,0.0360097324,理科,34,23997,25
11415,中国地质大学(北京),988,北京,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,理科,29,24446,22
11415,中国地质大学(北京),988,北京,2133083,2152,991.2095724907,2015,65.81,0.0432137285,理科,36,29339,29
11415,中国地质大学(北京),988,北京,1950056,2114.8,922.0994893134,2014,64.77,0.0558441558,理科,35,31160,27
10491,中国地质大学(武汉),988,湖北,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,文科,16,8538,22
11415,中国地质大学(北京),988,北京,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,理科,29,23837,23
11415,中国地质大学(北京),988,北京,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,文科,4,5563,17
10491,中国地质大学(武汉),988,湖北,2225045,5779,385.0224952414,2013,11.87,0.0360097324,理科,84,22208,26
10491,中国地质大学(武汉),988,湖北,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,理科,49,24313,22
10491,中国地质大学(武汉),988,湖北,2736704,5816,470.5474552957,2015,65.81,0.0432137285,理科,88,31216,29
10491,中国地质大学(武汉),988,湖北,2466849,5799,425.3921365753,2014,64.77,0.0558441558,理科,84,40420,27
10491,中国地质大学(武汉),988,湖北,1963226,5758,340.9562348038,2012,11.85,0.036858006,理科,47,25460,22
10491,中国地质大学(武汉),988,湖北,2225045,5779,385.0224952414,2013,11.87,0.0360097324,文科,15,8800,19
11415,中国地质大学(北京),988,北京,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,文科,4,4835,17
10491,中国地质大学(武汉),988,湖北,1963226,5758,340.9562348038,2012,11.85,0.036858006,文科,14,9085,20
10491,中国地质大学(武汉),988,湖北,2736704,5816,470.5474552957,2015,65.81,0.0432137285,文科,11,10535,22
10491,中国地质大学(武汉),988,湖北,2466849,5799,425.3921365753,2014,64.77,0.0558441558,文科,15,10080,19
10053,中国政法大学,2154,北京,2133083,2152,991.2095724907,2015,64.35,0.1934477379,文科,56,3177,13
10053,中国政法大学,2154,北京,1787940,2069.3,864.0313149374,2013,5.8,0.1690997567,理科,42,3412,9
10053,中国政法大学,2154,北京,1787940,2069.3,864.0313149374,2013,5.8,0.1690997567,文科,55,1160,18
10053,中国政法大学,2154,北京,2133083,2152,991.2095724907,2015,64.35,0.1934477379,理科,49,43106,17
10053,中国政法大学,2154,北京,1411358,1961.9,719.3832509302,2011,5.85,0.1700404858,文科,48,777,9
10053,中国政法大学,2154,北京,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,理科,42,3870,31
10053,中国政法大学,2154,北京,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,文科,43,870,9
10053,中国政法大学,2154,北京,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,文科,55,8725,12
10053,中国政法大学,2154,北京,1411358,1961.9,719.3832509302,2011,5.85,0.1700404858,理科,39,4748,11
10053,中国政法大学,2154,北京,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,理科,34,5090,9
10423,中国海洋大学,440,山东,5942659,9789,607.0751864338,2015,65.24,0.0404056162,理科,114,22104,25
10423,中国海洋大学,440,山东,5001324,9684.87,516.4058990983,2013,10.18,0.0304136253,理科,111,19899,21
10423,中国海洋大学,440,山东,3916992,9587.87,408.5362025142,2011,11.21,0.0284615385,文科,14,6618,20
10423,中国海洋大学,440,山东,5942659,9789,607.0751864338,2015,65.24,0.0404056162,文科,28,5917,19
10423,中国海洋大学,440,山东,5468433,9733.39,561.8220373375,2014,64.09,0.0438311688,理科,111,21843,24
10423,中国海洋大学,440,山东,3916992,9587.87,408.5362025142,2011,11.21,0.0284615385,理科,86,22046,20
10423,中国海洋大学,440,山东,5001324,9684.87,516.4058990983,2013,10.18,0.0304136253,文科,27,5721,15
10423,中国海洋大学,440,山东,5468433,9733.39,561.8220373375,2014,64.09,0.0438311688,文科,27,5397,15
10423,中国海洋大学,440,山东,4536185,9637.27,470.691907563,2012,11.11,0.0311178248,文科,18,7325,17
10423,中国海洋大学,440,山东,4536185,9637.27,470.691907563,2012,11.11,0.0311178248,理科,86,21446,20
10425,中国石油大学(华东),1858,山东,3916992,9587.87,408.5362025142,2011,11.06,0.0599190283,理科,40,25753,23
10425,中国石油大学(华东),1858,山东,5001324,9684.87,516.4058990983,2013,9.95,0.0540145985,理科,48,23126,26
10425,中国石油大学(华东),1858,山东,5468433,9733.39,561.8220373375,2014,63.77,0,理科,55,40420,28
11414,中国石油大学(北京),1858,北京,1625193,2018.6,805.1089864262,2012,11.26,0.053776435,文科,3,5597,16
11414,中国石油大学(北京),1858,北京,1787940,2069.3,864.0313149374,2013,9.95,0.0540145985,文科,4,4674,18
10425,中国石油大学(华东),1858,山东,4536185,9637.27,470.691907563,2012,11.26,0.053776435,理科,40,27597,22
11414,中国石油大学(北京),1858,北京,1625193,2018.6,805.1089864262,2012,11.26,0.053776435,理科,16,17685,25
11414,中国石油大学(北京),1858,北京,1950056,2114.8,922.0994893134,2014,63.77,0,理科,17,27089,24
11414,中国石油大学(北京),1858,北京,2133083,2152,991.2095724907,2015,65.1,0.0394695788,文科,4,11548,20
11414,中国石油大学(北京),1858,北京,1950056,2114.8,922.0994893134,2014,63.77,0,文科,4,9575,20
11414,中国石油大学(北京),1858,北京,2133083,2152,991.2095724907,2015,65.1,0.0394695788,理科,19,22341,34
11414,中国石油大学(北京),1858,北京,1787940,2069.3,864.0313149374,2013,9.95,0.0540145985,理科,19,29207,23
11414,中国石油大学(北京),1858,北京,1411358,1961.9,719.3832509302,2011,11.06,0.0599190283,理科,17,19602,19
10425,中国石油大学(华东),1858,山东,5942659,9789,607.0751864338,2015,65.1,0.0394695788,理科,60,34927,31
10290,中国矿业大学,2136,江苏,4911027,7898.8006682342,621.7433767825,2012,12.25,0.0241087613,文科,2,10919,20
10290,中国矿业大学,2136,江苏,5405822,7919.98,682.555006452,2013,10.71,0.0233576642,理科,94,29207,25
10290,中国矿业大学,2136,江苏,5916175,7939.49,745.1580643089,2014,64.55,0.0386363636,理科,92,31855,29
10290,中国矿业大学,2136,江苏,4911027,7898.8006682342,621.7433767825,2012,12.25,0.0241087613,理科,96,30392,25
10290,中国矿业大学,2136,江苏,4142548,7869.34,526.4161924634,2011,11.94,0,文科,8,7822,23
10290,中国矿业大学,2136,江苏,6508832,7960,817.6924623116,2015,66.79,0.0354134165,理科,118,37436,32
10290,中国矿业大学,2136,江苏,5405822,7919.98,682.555006452,2013,10.71,0.0233576642,文科,2,9196,18
10290,中国矿业大学,2136,江苏,4142548,7869.34,526.4161924634,2011,11.94,0,理科,90,29486,24
10290,中国矿业大学,2136,江苏,6508832,7960,817.6924623116,2015,66.79,0.0354134165,文科,9,14000,25
11413,中国矿业大学(北京),2136,北京,2133083,2152,991.2095724907,2015,66.79,0.0354134165,理科,20,30387,32
11413,中国矿业大学(北京),2136,北京,1787940,2069.3,864.0313149374,2013,10.71,0.0233576642,理科,10,27484,26
10290,中国矿业大学,2136,江苏,5916175,7939.49,745.1580643089,2014,64.55,0.0386363636,文科,8,8860,21
11413,中国矿业大学(北京),2136,北京,1411358,1961.9,719.3832509302,2011,11.94,0,理科,6,26934,23
11413,中国矿业大学(北京),2136,北京,1625193,2018.6,805.1089864262,2012,12.25,0.0241087613,理科,7,27661,24
11413,中国矿业大学(北京),2136,北京,1950056,2114.8,922.0994893134,2014,64.55,0.0386363636,理科,17,33507,27
10358,中国科学技术大学,1214,安徽,1721205,5988,287.4423847695,2013,0,0,理科,38,677,5
10358,中国科学技术大学,1214,安徽,1235933,5956.7,207.4861920191,2011,0,0,理科,35,718,5
10358,中国科学技术大学,1214,安徽,2084875,6083,342.7379582443,2015,72.98,0.1110764431,理科,30,701,7
10358,中国科学技术大学,1214,安徽,1903887,6029.8,315.7462934094,2014,0,0,理科,30,727,5
10358,中国科学技术大学,1214,安徽,1530065,5968,256.3781836461,2012,0,0,理科,33,700,3
10316,中国药科大学,1390,江苏,4142548,7869.34,526.4161924634,2011,3.46,0,理科,23,28197,22
10316,中国药科大学,1390,江苏,6508832,7960,817.6924623116,2015,62.81,0,理科,24,26848,25
10316,中国药科大学,1390,江苏,5405822,7919.98,682.555006452,2013,3.42,0,文科,2,8225,17
10316,中国药科大学,1390,江苏,4911027,7898.8006682342,621.7433767825,2012,3.4,0,理科,21,25964,22
10316,中国药科大学,1390,江苏,5916175,7939.49,745.1580643089,2014,61.37,0,文科,2,8032,20
10316,中国药科大学,1390,江苏,5405822,7919.98,682.555006452,2013,3.42,0,理科,24,23353,23
10316,中国药科大学,1390,江苏,5916175,7939.49,745.1580643089,2014,61.37,0,理科,24,26507,26
10316,中国药科大学,1390,江苏,6508832,7960,817.6924623116,2015,62.81,0,文科,2,11288,21
10316,中国药科大学,1390,江苏,4911027,7898.8006682342,621.7433767825,2012,3.4,0,文科,2,10919,19
10052,中央民族大学,2122,北京,2133083,2152,991.2095724907,2015,63.87,0.044773791,文科,10,4000,17
