Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label
23,10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,文科,17,23
31,10200,东北师范大学,3052,吉林,1380381,2752,501.5919331395,2015,66.34,0.0453978159,理科,25,31
21,10225,东北林业大学,3294,黑龙江,1258200,3834.01,328.1681581425,2012,5.02,0,文科,3,21
23,10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,文科,3,23
26,10225,东北林业大学,3294,黑龙江,1503938,3833,392.3657709366,2015,63.42,0,文科,6,26
31,10225,东北林业大学,3294,黑龙江,1438293,3835.02,375.0418511507,2014,61.89,0,理科,16,31
34,10225,东北林业大学,3294,黑龙江,1503938,3833,392.3657709366,2015,63.42,0,理科,24,34
26,10225,东北林业大学,3294,黑龙江,1369158,3834.04,357.1058204922,2013,4.21,0,理科,26,26
16,10225,东北林业大学,3294,黑龙江,858700,3826.01,224.4374687991,2010,5.46,0,文科,3,16
24,10225,东北林业大学,3294,黑龙江,1036860,3833.35,270.4840413737,2011,5.11,0,理科,19,24
19,10225,东北林业大学,3294,黑龙江,1369158,3834.04,357.1058204922,2013,4.21,0,文科,4,19
25,10225,东北林业大学,3294,黑龙江,858700,3826.01,224.4374687991,2010,5.46,0,理科,16,25
25,10225,东北林业大学,3294,黑龙江,1258200,3834.01,328.1681581425,2012,5.02,0,理科,23,25
21,10225,东北林业大学,3294,黑龙江,1438293,3835.02,375.0418511507,2014,61.89,0,文科,4,21
25,10220,东北石油大学,3330,黑龙江,858700,3826.01,224.4374687991,2010,0,0,理科,5,25
26,10220,东北石油大学,3330,黑龙江,1369158,3834.04,357.1058204922,2013,1.86,0,理科,60,26
34,10220,东北石油大学,3330,黑龙江,1503938,3833,392.3657709366,2015,61.96,0,理科,46,34
25,10220,东北石油大学,3330,黑龙江,1258200,3834.01,328.1681581425,2012,0,0,理科,5,25
24,10220,东北石油大学,3330,黑龙江,1036860,3833.35,270.4840413737,2011,0,0,理科,5,24
31,10220,东北石油大学,3330,黑龙江,1438293,3835.02,375.0418511507,2014,60.8,0,理科,46,31
19,10173,东北财经大学,2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,文科,16,19
17,10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,文科,21,17
25,10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,理科,31,25
23,10173,东北财经大学,2246,辽宁,1845727,4375,421.8804571429,2011,3.38,0,文科,20,23
19,10173,东北财经大学,2246,辽宁,2222670,4383,507.1115674196,2012,3.18,0,理科,19,19
17,10173,东北财经大学,2246,辽宁,2707765,4390,616.8029612756,2014,61.29,0,文科,29,17
25,10173,东北财经大学,2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,理科,24,25
34,60173,东北财经大学(中外合作办学专业),2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,理科,10,34
26,60173,东北财经大学(中外合作办学专业),2246,辽宁,2862658,4391,651.9375996356,2015,62.69,0,文科,10,26
19,10173,东北财经大学,2246,辽宁,2484643,4389,566.1068580542,2013,3.15,0,文科,29,19
19,10173,东北财经大学,2246,辽宁,1521250,4341,350.4376871689,2010,3.32,0,理科,20,19
19,10173,东北财经大学,2246,辽宁,1845727,4375,421.8804571429,2011,3.38,0,理科,20,19
23,10173,东北财经大学,2246,辽宁,2484643,4389,566.1068580542,2013,3.15,0,理科,31,23
14,10173,东北财经大学,2246,辽宁,1521250,4341,350.4376871689,2010,3.32,0,文科,20,14
23,10255,东华大学,1462,上海,2160212,2415.15,894.4421671532,2014,64.15,0.076461039,理科,32,23
21,10255,东华大学,1462,上海,1716598,2302.66,745.4847871592,2011,7.8,0.0374089069,理科,36,21
20,10255,东华大学,1462,上海,1919569,2347.46,817.7217077181,2012,7.73,0.032326284,理科,36,20
24,10255,东华大学,1462,上海,2356094,2426,971.1846661171,2015,63.71,0.036349454,理科,32,24
22,10255,东华大学,1462,上海,1504645,2210.2841277426,680.7473216291,2010,7.71,0.0440329218,理科,38,22
21,10255,东华大学,1462,上海,2018172,2380.43,847.8182513243,2013,10.43,0.0311435523,理科,37,21
16,10286,东南大学,1380,江苏,5916175,7939.49,745.1580643089,2014,68.96,0.1003246753,理科,62,16
14,10286,东南大学,1380,江苏,4911027,7898.8006682342,621.7433767825,2012,19.22,0.0779456193,理科,50,14
15,10286,东南大学,1380,江苏,3445730,7810.269,441.1794267265,2010,19.43,0.0761316872,理科,40,15
16,10286,东南大学,1380,江苏,6508832,7960,817.6924623116,2015,69.69,0.0962558502,理科,67,16
13,10286,东南大学,1380,江苏,5405822,7919.98,682.555006452,2013,21.17,0.0793187348,理科,65,13
15,10286,东南大学,1380,江苏,4142548,7869.34,526.4161924634,2011,19.73,0.0724696356,理科,50,15
34,10110,中北大学,2090,山西,1275944,3648,349.7653508772,2015,62.49,0,理科,94,34
26,10110,中北大学,2090,山西,1275944,3648,349.7653508772,2015,62.49,0,文科,6,26
13,10533,中南大学,662,湖南,2450167,6690.6,366.2103548262,2014,70.54,0.0943181818,文科,36,13
19,10533,中南大学,662,湖南,1603796,6570.1,244.10526476,2011,27.77,0.0761133603,文科,22,19
16,10533,中南大学,662,湖南,1966956,6595.6,298.2224513312,2012,27.62,0.0645015106,理科,202,16
18,10533,中南大学,662,湖南,2450167,6690.6,366.2103548262,2014,70.54,0.0943181818,理科,280,18
14,10533,中南大学,662,湖南,2215423,6638.93,333.7018164072,2013,26.1,0.0695863747,文科,27,14
16,10533,中南大学,662,湖南,2704846,6737,401.4911681757,2015,72.28,0.0925117005,文科,32,16
16,10533,中南大学,662,湖南,1603796,6570.1,244.10526476,2011,27.77,0.0761133603,理科,205,16
16,10533,中南大学,662,湖南,1305969,6406,203.8665313768,2010,28.22,0.0691358025,文科,22,16
17,10533,中南大学,662,湖南,1966956,6595.6,298.2224513312,2012,27.62,0.0645015106,文科,20,17
16,10533,中南大学,662,湖南,2215423,6638.93,333.7018164072,2013,26.1,0.0695863747,理科,293,16
19,10533,中南大学,662,湖南,1305969,6406,203.8665313768,2010,28.22,0.0691358025,理科,236,19
20,10533,中南大学,662,湖南,2704846,6737,401.4911681757,2015,72.28,0.0925117005,理科,280,20
26,10538,中南林业科技大学,659,湖南,2704846,6737,401.4911681757,2015,62.15,0,文科,6,26
21,10538,中南林业科技大学,659,湖南,2450167,6690.6,366.2103548262,2014,60.58,0,文科,6,21
31,10538,中南林业科技大学,659,湖南,2450167,6690.6,366.2103548262,2014,60.58,0,理科,94,31
34,10538,中南林业科技大学,659,湖南,2704846,6737,401.4911681757,2015,62.15,0,理科,94,34
18,10520,中南财经政法大学,979,湖北,1963226,5758,340.9562348038,2012,5.87,0.049244713,文科,100,18
13,10520,中南财经政法大学,979,湖北,1296110,5720,226.5926573427,2010,5.94,0.0448559671,文科,100,13
18,10520,中南财经政法大学,979,湖北,1963226,5758,340.9562348038,2012,5.87,0.049244713,理科,125,18
19,10520,中南财经政法大学,979,湖北,2466849,5799,425.3921365753,2014,62.06,0.0574675325,理科,129,19
21,10520,中南财经政法大学,979,湖北,2736704,5816,470.5474552957,2015,64.04,0.0580343214,理科,126,21
12,10520,中南财经政法大学,979,湖北,2466849,5799,425.3921365753,2014,62.06,0.0574675325,文科,118,12
13,10520,中南财经政法大学,979,湖北,2225045,5779,385.0224952414,2013,5.13,0.0469586375,文科,110,13
16,10520,中南财经政法大学,979,湖北,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,文科,97,16
15,10520,中南财经政法大学,979,湖北,2736704,5816,470.5474552957,2015,64.04,0.0580343214,文科,113,15
19,10520,中南财经政法大学,979,湖北,1296110,5720,226.5926573427,2010,5.94,0.0448559671,理科,125,19
20,10520,中南财经政法大学,979,湖北,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,理科,120,20
17,10520,中南财经政法大学,979,湖北,2225045,5779,385.0224952414,2013,5.13,0.0469586375,理科,136,17
6,10002,中国人民大学,2124,北京,2133083,2152,991.2095724907,2015,78.71,0.5538221529,理科,48,6
4,10002,中国人民大学,2124,北京,1950056,2114.8,922.0994893134,2014,72.36,0.5,理科,37,4
4,10002,中国人民大学,2124,北京,1950056,2114.8,922.0994893134,2014,72.36,0.5,文科,38,4
4,10002,中国人民大学,2124,北京,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,文科,35,4
4,10002,中国人民大学,2124,北京,1787940,2069.3,864.0313149374,2013,28.36,0.5571776156,文科,39,4
2,10002,中国人民大学,2124,北京,1215300,1860,653.3870967742,2010,37.31,0.5390946502,文科,37,2
4,10002,中国人民大学,2124,北京,1787940,2069.3,864.0313149374,2013,28.36,0.5571776156,理科,38,4
3,10002,中国人民大学,2124,北京,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,文科,36,3
4,10002,中国人民大学,2124,北京,2133083,2152,991.2095724907,2015,78.71,0.5538221529,文科,44,4
4,10002,中国人民大学,2124,北京,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,理科,34,4
15,19002,中国人民大学(苏州校区),2124,江苏,6508832,7960,817.6924623116,2015,78.71,0.5538221529,文科,10,15
4,10002,中国人民大学,2124,北京,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,理科,34,4
8,19002,中国人民大学(苏州校区),2124,江苏,5405822,7919.98,682.555006452,2013,28.36,0.5571776156,理科,6,8
4,10002,中国人民大学,2124,北京,1215300,1860,653.3870967742,2010,37.31,0.5390946502,理科,36,4
13,19002,中国人民大学(苏州校区),2124,江苏,4911027,7898.8006682342,621.7433767825,2012,36.61,0.5788519637,文科,6,13
31,19002,中国人民大学(苏州校区),2124,江苏,5916175,7939.49,745.1580643089,2014,72.36,0.5,理科,10,31
8,19002,中国人民大学(苏州校区),2124,江苏,5405822,7919.98,682.555006452,2013,28.36,0.5571776156,文科,6,8
9,19002,中国人民大学(苏州校区),2124,江苏,4911027,7898.8006682342,621.7433767825,2012,36.61,0.5788519637,理科,4,9
15,19002,中国人民大学(苏州校区),2124,江苏,6508832,7960,817.6924623116,2015,78.71,0.5538221529,理科,10,15
12,19002,中国人民大学(苏州校区),2124,江苏,5916175,7939.49,745.1580643089,2014,72.36,0.5,文科,10,12
18,10033,中国传媒大学,2140,北京,1411358,1961.9,719.3832509302,2011,0,0,理科,24,18
18,10033,中国传媒大学,2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,理科,28,18
13,10033,中国传媒大学,2140,北京,1787940,2069.3,864.0313149374,2013,0,0,理科,26,13
10,10033,中国传媒大学,2140,北京,1625193,2018.6,805.1089864262,2012,0,0,文科,19,10
10,10033,中国传媒大学,2140,北京,1950056,2114.8,922.0994893134,2014,0,0.1332792208,文科,17,10
14,10033,中国传媒大学,2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,文科,21,14
10,10033,中国传媒大学,2140,北京,1411358,1961.9,719.3832509302,2011,0,0,文科,13,10
10,10033,中国传媒大学,2140,北京,1787940,2069.3,864.0313149374,2013,0,0,文科,18,10
15,10033,中国传媒大学,2140,北京,1625193,2018.6,805.1089864262,2012,0,0,理科,26,15
31,10033,中国传媒大学,2140,北京,1950056,2114.8,922.0994893134,2014,0,0.1332792208,理科,25,31
16,10033,中国传媒大学,2140,北京,1215300,1860,653.3870967742,2010,4.01,0.0893004115,理科,15,16
9,10033,中国传媒大学,2140,北京,1215300,1860,653.3870967742,2010,4.01,0.0893004115,文科,9,9
27,60033,中国传媒大学(中外合作办学专业),2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,理科,7,27
26,60033,中国传媒大学(中外合作办学专业),2140,北京,2133083,2152,991.2095724907,2015,0,0.1358814353,文科,13,26
18,10019,中国农业大学,1398,北京,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,理科,43,18
20,10019,中国农业大学,1398,北京,1787940,2069.3,864.0313149374,2013,18.1,0.1192214112,理科,49,20
21,10019,中国农业大学,1398,北京,1215300,1860,653.3870967742,2010,20.76,0.1275720165,理科,50,21
17,10019,中国农业大学,1398,北京,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,文科,5,17
17,10019,中国农业大学,1398,北京,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,文科,5,17
22,10019,中国农业大学,1398,北京,2133083,2152,991.2095724907,2015,68.46,0.1238689548,文科,8,22
18,10019,中国农业大学,1398,北京,1411358,1961.9,719.3832509302,2011,20,0.1089068826,理科,45,18
16,10019,中国农业大学,1398,北京,1787940,2069.3,864.0313149374,2013,18.1,0.1192214112,文科,6,16
21,10019,中国农业大学,1398,北京,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,理科,50,21
20,10019,中国农业大学,1398,北京,1411358,1961.9,719.3832509302,2011,20,0.1089068826,文科,5,20
21,10019,中国农业大学,1398,北京,2133083,2152,991.2095724907,2015,68.46,0.1238689548,理科,49,21
23,10159,中国医科大学,2248,辽宁,2222670,4383,507.1115674196,2012,4.19,0,理科,37,23
22,10159,中国医科大学,2248,辽宁,1521250,4341,350.4376871689,2010,4.21,0,理科,19,22
24,10159,中国医科大学,2248,辽宁,2484643,4389,566.1068580542,2013,4.37,0,理科,47,24
31,10159,中国医科大学,2248,辽宁,2707765,4390,616.8029612756,2014,61.85,0,理科,35,31
28,10159,中国医科大学,2248,辽宁,2862658,4391,651.9375996356,2015,63.04,0,理科,25,28
24,10159,中国医科大学,2248,辽宁,1845727,4375,421.8804571429,2011,3.96,0,理科,37,24
25,11415,中国地质大学(北京),988,北京,1787940,2069.3,864.0313149374,2013,11.87,0.0360097324,理科,34,25
22,11415,中国地质大学(北京),988,北京,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,理科,29,22
29,11415,中国地质大学(北京),988,北京,2133083,2152,991.2095724907,2015,65.81,0.0432137285,理科,36,29
27,11415,中国地质大学(北京),988,北京,1950056,2114.8,922.0994893134,2014,64.77,0.0558441558,理科,35,27
22,10491,中国地质大学(武汉),988,湖北,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,文科,16,22
23,11415,中国地质大学(北京),988,北京,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,理科,29,23
17,11415,中国地质大学(北京),988,北京,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,文科,4,17
23,10491,中国地质大学(武汉),988,湖北,1296110,5720,226.5926573427,2010,11.73,0.041563786,理科,56,23
26,10491,中国地质大学(武汉),988,湖北,2225045,5779,385.0224952414,2013,11.87,0.0360097324,理科,84,26
22,10491,中国地质大学(武汉),988,湖北,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,理科,49,22
29,10491,中国地质大学(武汉),988,湖北,2736704,5816,470.5474552957,2015,65.81,0.0432137285,理科,88,29
27,10491,中国地质大学(武汉),988,湖北,2466849,5799,425.3921365753,2014,64.77,0.0558441558,理科,84,27
22,10491,中国地质大学(武汉),988,湖北,1963226,5758,340.9562348038,2012,11.85,0.036858006,理科,47,22
19,10491,中国地质大学(武汉),988,湖北,2225045,5779,385.0224952414,2013,11.87,0.0360097324,文科,15,19
18,10491,中国地质大学(武汉),988,湖北,1296110,5720,226.5926573427,2010,11.73,0.041563786,文科,12,18
17,11415,中国地质大学(北京),988,北京,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,文科,4,17
20,10491,中国地质大学(武汉),988,湖北,1963226,5758,340.9562348038,2012,11.85,0.036858006,文科,14,20
22,10491,中国地质大学(武汉),988,湖北,2736704,5816,470.5474552957,2015,65.81,0.0432137285,文科,11,22
15,11415,中国地质大学(北京),988,北京,1215300,1860,653.3870967742,2010,11.73,0.041563786,文科,4,15
23,11415,中国地质大学(北京),988,北京,1215300,1860,653.3870967742,2010,11.73,0.041563786,理科,27,23
19,10491,中国地质大学(武汉),988,湖北,2466849,5799,425.3921365753,2014,64.77,0.0558441558,文科,15,19
13,10053,中国政法大学,2154,北京,2133083,2152,991.2095724907,2015,64.35,0.1934477379,文科,56,13
9,10053,中国政法大学,2154,北京,1787940,2069.3,864.0313149374,2013,5.8,0.1690997567,理科,42,9
11,10053,中国政法大学,2154,北京,1215300,1860,653.3870967742,2010,6.2,0.1930041152,理科,39,11
18,10053,中国政法大学,2154,北京,1787940,2069.3,864.0313149374,2013,5.8,0.1690997567,文科,55,18
17,10053,中国政法大学,2154,北京,2133083,2152,991.2095724907,2015,64.35,0.1934477379,理科,49,17
9,10053,中国政法大学,2154,北京,1411358,1961.9,719.3832509302,2011,5.85,0.1700404858,文科,48,9
31,10053,中国政法大学,2154,北京,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,理科,42,31
9,10053,中国政法大学,2154,北京,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,文科,43,9
7,10053,中国政法大学,2154,北京,1215300,1860,653.3870967742,2010,6.2,0.1930041152,文科,48,7
12,10053,中国政法大学,2154,北京,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,文科,55,12
11,10053,中国政法大学,2154,北京,1411358,1961.9,719.3832509302,2011,5.85,0.1700404858,理科,39,11
9,10053,中国政法大学,2154,北京,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,理科,34,9
25,10423,中国海洋大学,440,山东,5942659,9789,607.0751864338,2015,65.24,0.0404056162,理科,114,25
21,10423,中国海洋大学,440,山东,5001324,9684.87,516.4058990983,2013,10.18,0.0304136253,理科,111,21
