,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
36,351,上海大学,10280,2013,文科,上海,上海大学,3,9.21,0.0703163017,2018172,2380.43,847.8182513242999,1473.0,600.0,616.0,606.0,3.0,第一批
37,351,上海大学,10280,2013,文科,上海,上海大学,3,9.21,0.0703163017,2018172,2380.43,847.8182513242999,1473.0,485.0,505.0,495.0,5.0,专科
38,362,上海大学,10280,2013,理科,上海,上海大学,40,9.21,0.0703163017,2018172,2380.43,847.8182513242999,1473.0,587.0,634.0,609.0,23.0,第一批
39,362,上海大学,10280,2013,理科,上海,上海大学,40,9.21,0.0703163017,2018172,2380.43,847.8182513242999,1473.0,482.0,510.0,495.0,5.0,专科
40,373,上海大学,10280,2010,文科,上海,上海大学,5,7.78,0.059670781900000004,1504645,2210.2841277426,680.7473216291,1473.0,518.0,557.0,535.0,11.0,第一批
41,386,上海大学,10280,2015,理科,上海,上海大学,10,64.03,0.0673946958,2356094,2426.0,971.1846661171,1473.0,591.0,,596.0,,第一批
42,412,上海海事大学,10254,2014,理科,上海,上海海事大学,134,60.53,0.0,2160212,2415.15,894.4421671532001,1474.0,561.0,577.0,568.0,54.0,第二批
43,413,上海海事大学,10254,2015,理科,上海,上海海事大学,127,61.8,0.0,2356094,2426.0,971.1846661171,1474.0,,,563.0,,第一批
44,419,上海海事大学,10254,2015,文科,上海,上海海事大学,34,61.8,0.0,2356094,2426.0,971.1846661171,1474.0,,,587.0,,第一批
45,423,上海海事大学,10254,2014,文科,上海,上海海事大学,33,60.53,0.0,2160212,2415.15,894.4421671532001,1474.0,590.0,609.0,594.0,10.0,第二批
46,444,上海理工大学,10252,2011,理科,上海,上海理工大学,55,1.85,0.0,1716598,2302.66,745.4847871592,1484.0,629.0,650.0,635.0,51.0,第一批
47,447,上海理工大学,10252,2014,理科,上海,上海理工大学,59,61.15,0.0,2160212,2415.15,894.4421671532001,1484.0,575.0,611.0,592.0,70.0,第一批
48,449,上海理工大学,10252,2013,理科,上海,上海理工大学,69,1.78,0.0,2018172,2380.43,847.8182513242999,1484.0,599.0,613.0,603.0,57.0,第一批
49,452,上海理工大学,10252,2012,理科,上海,上海理工大学,55,1.89,0.0,1919569,2347.46,817.7217077181,1484.0,562.0,599.0,585.0,57.0,第一批
50,453,上海理工大学,10252,2010,理科,上海,上海理工大学,50,1.71,0.0,1504645,2210.2841277426,680.7473216291,1484.0,544.0,575.0,556.0,68.0,第一批
51,462,上海理工大学,10252,2015,理科,上海,上海理工大学,59,62.83,0.0,2356094,2426.0,971.1846661171,1484.0,579.0,,585.0,,第一批
52,480,上海财经大学,10272,2014,文科,上海,上海财经大学,16,62.15,0.0733766234,2160212,2415.15,894.4421671532001,1473.0,636.0,660.0,647.0,13.0,第一批
53,483,上海财经大学,10272,2010,文科,上海,上海财经大学,9,5.3,0.0781893004,1504645,2210.2841277426,680.7473216291,1473.0,544.0,574.0,558.0,8.0,第一批
54,484,上海财经大学,10272,2013,文科,上海,上海财经大学,13,5.15,0.0695863747,2018172,2380.43,847.8182513242999,1473.0,626.0,641.0,635.0,11.0,第一批
55,496,上海财经大学,10272,2014,理科,上海,上海财经大学,37,62.15,0.0733766234,2160212,2415.15,894.4421671532001,1473.0,624.0,667.0,650.0,32.0,第一批
56,498,上海财经大学,10272,2012,理科,上海,上海财经大学,25,5.92,0.067673716,1919569,2347.46,817.7217077181,1473.0,616.0,655.0,637.0,26.0,第一批
57,510,上海财经大学,10272,2012,文科,上海,上海财经大学,11,5.92,0.067673716,1919569,2347.46,817.7217077181,1473.0,617.0,639.0,632.0,11.0,第一批
58,522,上海财经大学,10272,2011,文科,上海,上海财经大学,10,5.45,0.0744939271,1716598,2302.66,745.4847871592,1473.0,639.0,653.0,644.0,9.0,第一批
