University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
中央民族大学,2014,606,,611,,第一批,文科
中央民族大学,2013,605,627,612,11,第一批,文科
中央民族大学,2012,605,625,615,7,第一批,文科
中央民族大学,2011,590,610,600,8,第一批,文科
中央民族大学,2010,608,628,616,8,第一批,文科
中央民族大学,2009,532,550,542,26,第一批,文科
中央民族大学,2008,585,617,595,11,第一批,文科
南开大学,2014,635,658,644,,第一批,理科
南开大学,2013,626,662,651,35,第一批,理科
南开大学,2012,630,666,653,33,第一批,理科
南开大学,2011,628,645,635,28,第一批,理科
南开大学,2010,671,684,675,30,第一批,理科
南开大学,2009,600,641,624,67,第一批,理科
南开大学,2008,624,646,633,34,第一批,理科
南开大学,2014,621,645,626,,第一批,文科
南开大学,2013,611,649,632,19,第一批,文科
南开大学,2012,620,637,627,13,第一批,文科
南开大学,2011,587,634,617,11,第一批,文科
南开大学,2010,638,652,644,11,第一批,文科
南开大学,2009,525,580,562,30,第一批,文科
南开大学,2008,631,640,634,11,第一批,文科
天津大学,2013,600,650,626,47,第一批,理科
天津大学,2012,610,649,624,40,第一批,理科
天津大学,2011,584,630,612,33,第一批,理科
天津大学,2010,656,676,663,43,第一批,理科
天津大学,2009,601,648,629,107,第一批,理科
天津大学,2008,611,628,617,24,第一批,理科
天津大学,2011,603,608,606,2,第一批,文科
天津大学,2010,565,579,569,7,第一批,文科
天津大学,2008,572,572,572,1,第一批,文科
大连理工大学,2014,600,616,599,,第一批,理科
大连理工大学,2013,596,639,615,46,第一批,理科
大连理工大学,2012,610,633,616,51,第一批,理科
大连理工大学,2011,592,611,599,30,第一批,理科
大连理工大学,2010,643,654,647,31,第一批,理科
大连理工大学,2009,541,618,581,130,第一批,理科
大连理工大学,2008,567,621,596,15,第一批,理科
大连理工大学,2010,584,600,589,19,第一批,文科
东北大学,2014,582,613,584,,第一批,理科
东北大学,2013,590,626,596,119,第一批,理科
东北大学,2012,592,612,599,92,第一批,理科
东北大学,2011,576,591,581,52,第一批,理科
东北大学,2010,628,644,632,41,第一批,理科
东北大学,2009,559,590,568,80,第一批,理科
东北大学,2008,564,596,575,40,第一批,理科
东北大学,2010,584,594,588,15,第一批,文科
东北大学,2009,520,549,528,13,第一批,文科
吉林大学,2014,,,600,,第一批,理科
吉林大学,2013,588,645,606,160,第一批,理科
吉林大学,2012,594,628,606,112,第一批,理科
吉林大学,2011,581,616,592,100,第一批,理科
吉林大学,2010,632,657,641,89,第一批,理科
吉林大学,2009,540,627,576,240,第一批,理科
吉林大学,2008,593,619,601,61,第一批,理科
吉林大学,2014,,,609,,第一批,文科
吉林大学,2013,615,625,620,8,第一批,文科
吉林大学,2012,608,618,612,13,第一批,文科
吉林大学,2011,594,613,599,11,第一批,文科
吉林大学,2010,610,630,619,9,第一批,文科
吉林大学,2009,530,559,539,30,第一批,文科
吉林大学,2008,575,626,590,10,第一批,文科
哈尔滨工业大学,2014,610,,624,,第一批,理科
哈尔滨工业大学,2013,600,649,626,74,第一批,理科
哈尔滨工业大学,2012,605,656,629,67,第一批,理科
哈尔滨工业大学,2011,574,644,603,75,第一批,理科
哈尔滨工业大学,2010,621,673,659,78,第一批,理科
哈尔滨工业大学,2009,577,635,598,111,第一批,理科
哈尔滨工业大学,2008,601,637,613,60,第一批,理科
哈尔滨工业大学,2014,598,,601,,第一批,文科
哈尔滨工业大学,2013,595,608,600,6,第一批,文科
哈尔滨工业大学,2010,595,614,611,3,第一批,文科
复旦大学,2014,,,669,,第一批,理科
复旦大学,2013,655,683,671,30,第一批,理科
复旦大学,2012,651,682,671,40,第一批,理科
复旦大学,2011,636,665,654,41,第一批,理科
复旦大学,2010,685,694,,43,第一批,理科
复旦大学,2009,647,660,654,30,第一批,理科
复旦大学,2008,565,674,647,20,第一批,理科
复旦大学,2014,,,655,,第一批,文科
复旦大学,2013,642,667,657,18,第一批,文科
复旦大学,2012,638,663,652,14,第一批,文科
复旦大学,2011,634,657,650,19,第一批,文科
复旦大学,2010,657,665,657,18,第一批,文科
复旦大学,2009,581,596,589,17,第一批,文科
复旦大学,2008,641,659,650,14,第一批,文科
同济大学,2015,661,,,,第一批,理科
同济大学,2014,642,675,652,,第一批,理科
同济大学,2013,634,676,657,98,第一批,理科
同济大学,2012,631,678,656,85,第一批,理科
同济大学,2011,613,650,636,81,第一批,理科
