,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
27,27,19,10280,上海大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,19,579.0,609.0,595.0,28.0,第一批
28,28,19,10280,上海大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,理科,22,19,416.0,530.0,452.0,11.0,专科
29,29,20,10280,上海大学,1473.0,上海,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,理科,25,20,544.0,607.0,568.0,49.0,第一批
30,30,22,10280,上海大学,1473.0,上海,2160212,2415.15,894.4421671532001,2014,63.49,0.0761363636,理科,23,22,580.0,614.0,603.0,42.0,第一批
31,31,10,10280,上海大学,1473.0,上海,2160212,2415.15,894.4421671532001,2014,63.49,0.0761363636,文科,2,10,615.0,619.0,616.0,3.0,第一批
32,32,14,10280,上海大学,1473.0,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,文科,3,14,613.0,618.0,616.0,6.0,第一批
33,33,16,10280,上海大学,1473.0,上海,1716598,2302.66,745.4847871592,2011,8.18,0.0615384615,理科,27,16,635.0,664.0,640.0,27.0,第一批
34,34,17,10280,上海大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,17,607.0,611.0,609.0,3.0,第一批
35,35,17,10280,上海大学,1473.0,上海,1919569,2347.46,817.7217077181,2012,8.16,0.0719033233,文科,3,17,465.0,526.0,499.0,6.0,专科
36,36,13,10280,上海大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,文科,3,13,600.0,616.0,606.0,3.0,第一批
37,37,13,10280,上海大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,文科,3,13,485.0,505.0,495.0,5.0,专科
38,38,19,10280,上海大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,理科,40,19,587.0,634.0,609.0,23.0,第一批
39,39,19,10280,上海大学,1473.0,上海,2018172,2380.43,847.8182513242999,2013,9.21,0.0703163017,理科,40,19,482.0,510.0,495.0,5.0,专科
40,40,14,10280,上海大学,1473.0,上海,1504645,2210.2841277426,680.7473216291,2010,7.78,0.0596707819,文科,5,14,518.0,557.0,535.0,11.0,第一批
