"","X","Year","Province","University_Name_Location","University_Name","Topic","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person"
"42",42,2010,"北京","中国传媒大学","中国传媒大学","文科",9,1650,4.01,0.0893004115226337,1215300,1860,61.5,653.387096774194
"43",43,2010,"北京","中央财经大学","中央财经大学","理科",53,2046,5.38,0.258024691358025,1215300,1860,61.5,653.387096774194
"44",44,2010,"北京","对外经济贸易大学","对外经济贸易大学","理科",33,2513,3.85,0.0502057613168724,1215300,1860,61.5,653.387096774194
"45",45,2010,"北京","华北电力大学(北京)","华北电力大学","文科",9,7081,4.46,NA,1215300,1860,61.5,653.387096774194
"46",46,2010,"北京","中国地质大学(北京)","中国地质大学","文科",4,5563,11.73,0.0415637860082304,1215300,1860,61.5,653.387096774194
"47",47,2010,"北京","北京工业大学","北京工业大学","文科",2,8369,7.95,0.0637860082304527,1215300,1860,61.5,653.387096774194
"48",48,2010,"北京","北京交通大学","北京交通大学","文科",4,2080,9.94,0.0406995884773663,1215300,1860,61.5,653.387096774194
"49",49,2010,"北京","中国人民大学","中国人民大学","理科",36,519,37.31,0.539094650205761,1215300,1860,61.5,653.387096774194
"50",50,2010,"北京","清华大学","清华大学","理科",34,110,95.06,0.827160493827161,1215300,1860,61.5,653.387096774194
"51",51,2010,"北京","北京第二外国语学院","北京第二外国语学院","文科",13,2453,NA,NA,1215300,1860,61.5,653.387096774194
"52",52,2010,"北京","中国政法大学","中国政法大学","理科",39,4748,6.2,0.193004115226337,1215300,1860,61.5,653.387096774194
"53",53,2010,"北京","中国传媒大学","中国传媒大学","理科",15,9736,4.01,0.0893004115226337,1215300,1860,61.5,653.387096774194
"54",54,2010,"北京","北京航空航天大学","北京航空航天大学","理科",47,1647,22.14,0.104115226337449,1215300,1860,61.5,653.387096774194
"55",55,2010,"北京","中央民族大学","中央民族大学","文科",8,7567,6.21,0.0489711934156379,1215300,1860,61.5,653.387096774194
