,UniversityNo,University_Name,University_Name_Pinyin,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Student_Population,X1A_Number,Ranking_Scores,Media_Impact,Topic,Plan_Number,Plan_Number_Total,Lowest_Ranking,Label,Ranking_Percentage
37,10280,上海大学,shanghaidaxue,上海大学,1473.0,上海,1504645,2210.2841277426,680.7473216291,2010,61.5,10869,7.78,0.059670781900000004,文科,5,2214.0,4252,6,0.3912043426
38,10280,上海大学,shanghaidaxue,上海大学,1473.0,上海,2356094,2426.0,971.1846661171,2015,75.4,51000,64.03,0.0673946958,理科,10,13301.0,16371,11,0.321
39,10254,上海海事大学,shanghaihaishidaxue,上海海事大学,1474.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,43106,60.53,0.0,理科,134,40651.0,43106,15,1.0
40,10254,上海海事大学,shanghaihaishidaxue,上海海事大学,1474.0,上海,2356094,2426.0,971.1846661171,2015,75.4,51000,61.8,0.0,理科,127,46267.0,50373,15,0.9877058823999999
41,10254,上海海事大学,shanghaihaishidaxue,上海海事大学,1474.0,上海,2356094,2426.0,971.1846661171,2015,75.4,16964,61.8,0.0,文科,34,10855.0,11169,11,0.6583942466
42,10254,上海海事大学,shanghaihaishidaxue,上海海事大学,1474.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,14000,60.53,0.0,文科,33,13299.0,14000,11,1.0
43,10264,上海海洋大学,shanghaihaiyangdaxue,上海海洋大学,1479.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,14000,60.43,0.0,文科,26,13299.0,14000,11,1.0
44,10264,上海海洋大学,shanghaihaiyangdaxue,上海海洋大学,1479.0,上海,2356094,2426.0,971.1846661171,2015,75.4,51000,61.84,0.0,理科,81,46267.0,51000,15,1.0
45,10264,上海海洋大学,shanghaihaiyangdaxue,上海海洋大学,1479.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,43106,60.43,0.0,理科,81,40651.0,43106,15,1.0
46,10264,上海海洋大学,shanghaihaiyangdaxue,上海海洋大学,1479.0,上海,2356094,2426.0,971.1846661171,2015,75.4,16964,61.84,0.0,文科,26,14945.0,15104,12,0.8903560481
47,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,1716598,2302.66,745.4847871592,2011,65.5,30392,1.85,0.0,理科,55,16174.0,19761,11,0.6502040011
48,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,2160212,2415.15,894.4421671532001,2014,75.6,43106,61.15,0.0,理科,59,20704.0,26375,13,0.6118637777
49,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,2018172,2380.43,847.8182513242999,2013,72.7,40420,1.78,0.0,理科,69,21284.0,27201,12,0.6729589312
50,10252,上海理工大学,shanghailigongdaxue,上海理工大学,1484.0,上海,1919569,2347.46,817.7217077181,2012,69.2,29207,1.89,0.0,理科,55,16917.0,19247,11,0.6589858596
