,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
50,10252,2010,1,544.0,1504645,2210.2841277426,680.7473216291,50,1.71,0.0,1484.0,0.0,0.0
51,10252,2015,1,579.0,2356094,2426.0,971.1846661171,59,62.83,0.0,1484.0,26375.0,22943.2
52,10272,2014,0,636.0,2160212,2415.15,894.4421671532001,16,62.15,0.0733766234,1473.0,818.0,643.75
53,10272,2010,0,544.0,1504645,2210.2841277426,680.7473216291,9,5.3,0.0781893004,1473.0,0.0,0.0
54,10272,2013,0,626.0,2018172,2380.43,847.8182513242999,13,5.15,0.0695863747,1473.0,702.0,585.6666666666666
55,10272,2014,1,624.0,2160212,2415.15,894.4421671532001,37,62.15,0.0733766234,1473.0,2583.0,1698.0
56,10272,2012,1,616.0,1919569,2347.46,817.7217077181,25,5.92,0.067673716,1473.0,1222.0,1427.5
57,10272,2012,0,617.0,1919569,2347.46,817.7217077181,11,5.92,0.067673716,1473.0,479.0,527.5
58,10272,2011,0,639.0,1716598,2302.66,745.4847871592,10,5.45,0.0744939271,1473.0,576.0,576.0
59,10272,2015,1,644.0,2356094,2426.0,971.1846661171,38,64.02,0.07940717629999999,1473.0,1697.0,1697.8
60,10272,2011,1,654.0,1716598,2302.66,745.4847871592,25,5.45,0.0744939271,1473.0,1633.0,1633.0
61,10272,2010,1,540.0,1504645,2210.2841277426,680.7473216291,26,5.3,0.0781893004,1473.0,0.0,0.0
62,10272,2013,1,640.0,2018172,2380.43,847.8182513242999,32,5.15,0.0695863747,1473.0,1354.0,1403.0
63,10272,2015,0,628.0,2356094,2426.0,971.1846661171,16,64.02,0.07940717629999999,1473.0,1077.0,730.4
64,10224,2015,0,576.0,1503938,3833.0,392.36577093660003,6,62.94,0.0,3301.0,14000.0,13462.0
65,10224,2014,0,585.0,1438293,3835.02,375.0418511507,12,61.33,0.0,3301.0,12924.0,12924.0
66,10224,2014,1,541.0,1438293,3835.02,375.0418511507,34,61.33,0.0,3301.0,40420.0,40420.0
67,10224,2015,1,551.0,1503938,3833.0,392.36577093660003,24,62.94,0.0,3301.0,43106.0,41763.0
68,19145,2011,1,622.0,2039426,7193.6,283.5056161032,40,15.08,0.0393522267,2760.0,28230.0,28230.0
69,19145,2012,1,569.0,2451576,7240.51,338.5916185462,46,14.97,0.032326284,2760.0,30392.0,29311.0
70,10145,2012,1,576.0,2222670,4383.0,507.11156741959996,92,14.97,0.032326284,2760.0,23179.0,23022.5
71,10145,2010,1,559.0,1521250,4341.0,350.43768716889997,42,16.2,0.0465020576,2760.0,0.0,0.0
72,10145,2011,1,628.0,1845727,4375.0,421.8804571429,50,15.08,0.0393522267,2760.0,22866.0,22866.0
73,10145,2015,1,582.0,2862658,4391.0,651.9375996356,114,67.0,0.035725428999999996,2760.0,24234.0,23434.6
74,19145,2014,1,574.0,2830141,7332.61,385.96638850290003,67,65.8,0.0402597403,2760.0,40420.0,32062.25
75,19145,2013,1,585.0,2657501,7287.51,364.6651599792,60,13.67,0.031630170299999996,2760.0,29207.0,29276.333333333332
76,10145,2013,1,592.0,2484643,4389.0,566.1068580542,119,13.67,0.031630170299999996,2760.0,23386.0,23143.666666666668
77,10145,2014,1,590.0,2707765,4390.0,616.8029612756,126,65.8,0.0402597403,2760.0,23508.0,23234.75
78,10200,2013,1,585.0,1193924,2750.4,434.0910413031,22,12.73,0.0250608273,3052.0,29207.0,28585.333333333332
79,10200,2011,0,597.0,866758,2746.6,315.5748925945,10,10.81,0.0,3052.0,10464.0,10464.0
80,10200,2011,0,,866758,2746.6,315.5748925945,10,10.81,0.0,3052.0,10464.0,10464.0
81,10200,2014,1,574.0,1298146,2751.28,471.833473874,17,65.27,0.0451298701,3052.0,40420.0,31544.0
82,10200,2010,1,545.0,727875,2739.55,265.6914456754,6,10.93,0.03,3052.0,0.0,0.0
83,10200,2010,1,531.0,727875,2739.55,265.6914456754,6,10.93,0.03,3052.0,0.0,0.0
84,10200,2012,0,581.0,1056883,2749.41,384.40356294620005,4,11.08,0.0248338369,3052.0,10919.0,10691.5
85,10200,2011,1,624.0,866758,2746.6,315.5748925945,9,10.81,0.0,3052.0,26157.0,26157.0
86,10200,2011,1,,866758,2746.6,315.5748925945,9,10.81,0.0,3052.0,26157.0,26157.0
87,10200,2012,1,568.0,1056883,2749.41,384.40356294620005,8,11.08,0.0248338369,3052.0,30392.0,28274.5
88,10200,2010,0,519.0,727875,2739.55,265.6914456754,4,10.93,0.03,3052.0,0.0,0.0
89,10200,2010,0,522.0,727875,2739.55,265.6914456754,4,10.93,0.03,3052.0,0.0,0.0
90,10200,2013,0,590.0,1193924,2750.4,434.0910413031,13,12.73,0.0250608273,3052.0,10000.0,10461.0
91,10200,2014,0,594.0,1298146,2751.28,471.833473874,13,65.27,0.0451298701,3052.0,10176.0,10389.75
92,10200,2015,0,,1380381,2752.0,501.5919331395,17,66.34,0.0453978159,3052.0,12062.0,10724.2
