"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"1",2011,"文科","上海外国语大学",249,"上海外国语大学",10271,"上海",9,717,626,2.8,0.0293927126,1716598,2302.66,65.5,745.4847871592,10919,0.065665354,"shanghaiwaiguoyudaxue",1466,637
"2",2011,"文科","上海大学",318,"上海大学",10280,"上海",3,2801,607,8.18,0.0615384615,1716598,2302.66,65.5,745.4847871592,10919,0.2565253228,"shanghaidaxue",1473,613
"3",2011,"文科","上海财经大学",522,"上海财经大学",10272,"上海",10,479,631,5.45,0.0744939271,1716598,2302.66,65.5,745.4847871592,10919,0.0438684861,"shanghaicaijingdaxue",1473,639
"4",2011,"文科","东北师范大学",737,"东北师范大学",10200,"吉林",10,10919,580,10.81,0,866758,2746.6,65.5,315.5748925945,10919,1,"dongbeishifandaxue",3052,595
"5",2011,"文科","东北林业大学",878,"东北林业大学",10225,"黑龙江",3,10919,580,5.11,0,1036860,3833.35,65.5,270.4840413737,10919,1,"dongbeilinyedaxue",3294,606
"6",2011,"文科","东北财经大学",1080,"东北财经大学",10173,"辽宁",20,10124,581,3.38,0,1845727,4375,65.5,421.8804571429,10919,0.9271911347,"dongbeicaijingdaxue",2246,614
"7",2011,"文科","中南大学",1284,"中南大学",10533,"湖南",22,6024,593,27.77,0.0761133603,1603796,6570.1,65.5,244.10526476,10919,0.5516988735,"zhongnandaxue",662,606
"8",2011,"文科","中南财经政法大学",1483,"中南财经政法大学",10520,"湖北",97,3731,602,5.78,0.0493927126,1596761,5727.9143,65.5,278.7683118792,10919,0.3416979577,"zhongnancaijingzhengfadaxue",979,617
"9",2011,"文科","中国人民大学",1613,"中国人民大学",10002,"北京",35,113,646,35.65,0.4939271255,1411358,1961.9,65.5,719.3832509302,10919,0.0103489331,"zhongguorenmindaxue",2124,655
"10",2011,"文科","中国传媒大学",1838,"中国传媒大学",10033,"北京",13,1111,620,0,0,1411358,1961.9,65.5,719.3832509302,10919,0.1017492444,"zhongguochuanmeidaxue",2140,627
"11",2011,"文科","中国地质大学(北京)",2129,"中国地质大学",11415,"北京",4,4835,597,11.82,0.0359919028,1411358,1961.9,65.5,719.3832509302,10919,0.4428061178,"zhongguodizhidaxue",988,608
"12",2011,"文科","中国地质大学(武汉)",2108,"中国地质大学",10491,"湖北",16,9085,584,11.82,0.0359919028,1596761,5727.9143,65.5,278.7683118792,10919,0.8320359007,"zhongguodizhidaxue",988,600
"13",2011,"文科","中国政法大学",2367,"中国政法大学",10053,"北京",48,870,623,5.85,0.1700404858,1411358,1961.9,65.5,719.3832509302,10919,0.0796776262,"zhongguozhengfadaxue",2154,636
"14",2011,"文科","中国海洋大学",2471,"中国海洋大学",10423,"山东",14,7325,589,11.21,0.0284615385,3916992,9587.87,65.5,408.5362025142,10919,0.6708489788,"zhongguohaiyangdaxue",440,605
"15",2011,"文科","中国矿业大学",2809,"中国矿业大学",10290,"江苏",8,10919,580,11.94,0,4142548,7869.34,65.5,526.4161924634,10919,1,"zhongguokuangyedaxue",2136,602
"16",2011,"文科","中央民族大学",3195,"中央民族大学",10052,"北京",8,6846,593,5.97,0.0502024291,1411358,1961.9,65.5,719.3832509302,10919,0.6269804927,"zhongyangminzudaxue",2122,610
"17",2011,"文科","中央财经大学",3314,"中央财经大学",10034,"北京",23,504,630,4.6,0.2408906883,1411358,1961.9,65.5,719.3832509302,10919,0.0461580731,"zhongyangcaijingdaxue",2152,639
"18",2011,"文科","中山大学",3469,"中山大学",10558,"广东",925,1687,615,33.78,0.25951417,4601306,10440.94,65.5,440.6984428605,10919,0.154501328,"zhongshandaxue",119,620
"19",2011,"文科","兰州大学",3560,"兰州大学",10730,"甘肃",26,9437,583,14.61,0.0449392713,412075,2559.98,65.5,160.9680544379,10919,0.8642732851,"lanzhoudaxue",2258,603
"20",2011,"文科","内蒙古大学",3685,"内蒙古大学",10126,"内蒙古",5,10919,580,5.47,0,1167200,2472.18,65.5,472.1339061072,10919,1,"neimenggudaxue",2304,595
"21",2011,"文科","北京交通大学",3840,"北京交通大学",10004,"北京",5,2882,607,10.87,0.04048583,1411358,1961.9,65.5,719.3832509302,10919,0.2639435846,"beijingjiaotongdaxue",2124,624
"22",2011,"文科","北京体育大学",4077,"北京体育大学",10043,"北京",6,7611,588,0,0,1411358,1961.9,65.5,719.3832509302,10919,0.6970418536,"beijingtiyudaxue",2131,597
"23",2011,"文科","北京化工大学",4132,"北京化工大学",10010,"北京",12,10832,580,7.76,0,1411358,1961.9,65.5,719.3832509302,10919,0.9920322374,"beijinghuagongdaxue",2133,600
"24",2011,"文科","北京外国语大学",4367,"北京外国语大学",10030,"北京",9,238,638,3.65,0.0320242915,1411358,1961.9,65.5,719.3832509302,10919,0.0217968678,"beijingwaiguoyudaxue",2122,648
"25",2011,"文科","北京大学",4478,"北京大学",10001,"北京",12,25,659,100,1,1411358,1961.9,65.5,719.3832509302,10919,0.002289587,"beijingdaxue",2156,666
"26",2011,"文科","北京工业大学",4679,"北京工业大学",10005,"北京",6,10919,580,7.54,0.0325910931,1411358,1961.9,65.5,719.3832509302,10919,1,"beijinggongyedaxue",2116,600
"27",2011,"文科","北京林业大学",4852,"北京林业大学",10022,"北京",17,7987,587,7.66,0,1411358,1961.9,65.5,719.3832509302,10919,0.7314772415,"beijinglinyedaxue",2135,595
"28",2011,"文科","北京理工大学",4911,"北京理工大学",10007,"北京",5,3045,606,16.6,0.0765182186,1411358,1961.9,65.5,719.3832509302,10919,0.2788716915,"beijingligongdaxue",2123,621
"29",2011,"文科","北京第二外国语学院",5190,"北京第二外国语学院",10031,"北京",9,3614,603,0,0,1411358,1961.9,65.5,719.3832509302,10919,0.3309826907,"beijingdierwaiguoyuxueyuan",2146,621
"30",2011,"文科","北京航空航天大学",5261,"北京航空航天大学",10006,"北京",3,1333,617,21.96,0.0748987854,1411358,1961.9,65.5,719.3832509302,10919,0.1220807766,"beijinghangkonghangtiandaxue",2129,619
"31",2011,"文科","北京语言大学",5359,"北京语言大学",10032,"北京",15,2230,611,1.58,0,1411358,1961.9,65.5,719.3832509302,10919,0.2042311567,"beijingyuyandaxue",2129,627
"32",2011,"文科","华中农业大学",5787,"华中农业大学",10504,"湖北",12,10919,580,10.24,0.0300809717,1596761,5727.9143,65.5,278.7683118792,10919,1,"huazhongnongyedaxue",984,595
"33",2011,"文科","华中师范大学",5822,"华中师范大学",10511,"湖北",17,7516,588,11.7,0.0643724696,1596761,5727.9143,65.5,278.7683118792,10919,0.6883414232,"huazhongshifandaxue",984,605
"34",2011,"文科","华中科技大学",6065,"华中科技大学",10487,"湖北",22,6520,591,33.77,0.1165991903,1596761,5727.9143,65.5,278.7683118792,10919,0.5971242788,"huazhongkejidaxue",994,619
"35",2011,"文科","华侨大学",6113,"华侨大学",10385,"福建",48,10919,580,1.64,0.0312145749,1473712,3693,65.5,399.0555104251,10919,1,"huaqiaodaxue",674,595
"36",2011,"文科","华北电力大学(保定)",6442,"华北电力大学",10079,"河北",4,10444,581,4.39,0,2039426,7193.6,65.5,283.5056161032,10919,0.9564978478,"huabeidianlidaxue",1986,595
"37",2011,"文科","华北电力大学(北京)",6367,"华北电力大学",10054,"北京",9,7513,588,4.39,0,1411358,1961.9,65.5,719.3832509302,10919,0.6880666728,"huabeidianlidaxue",1986,604
"38",2011,"文科","华南农业大学",6543,"华南农业大学",10564,"广东",1499,10919,580,6.25,0.04048583,4601306,10440.94,65.5,440.6984428605,10919,1,"huanannongyedaxue",12.2,595
"39",2011,"文科","华南师范大学",6687,"华南师范大学",10574,"广东",1265,8116,587,6.61,0.0522267206,4601306,10440.94,65.5,440.6984428605,10919,0.7432915102,"huananshifandaxue",36.5,598
"40",2011,"文科","华南理工大学",6874,"华南理工大学",10561,"广东",205,3844,602,16.47,0.0748987854,4601306,10440.94,65.5,440.6984428605,10919,0.3520468907,"huananligongdaxue",11.9,606
"41",2011,"文科","南京信息工程大学",7019,"南京信息工程大学",10300,"江苏",6,10919,580,1.15,0,4142548,7869.34,65.5,526.4161924634,10919,1,"nanjingxinxigongchengdaxue",1366,595
"42",2011,"文科","南京大学",7264,"南京大学",10284,"江苏",18,267,637,42.47,0.1550607287,4142548,7869.34,65.5,526.4161924634,10919,0.0244527887,"nanjingdaxue",1380,647
"43",2011,"文科","南京邮电大学",7546,"南京邮电大学",10293,"江苏",4,8640,585,1.45,0,4142548,7869.34,65.5,526.4161924634,10919,0.7912812529,"nanjingyoudiandaxue",1384,597
"44",2011,"文科","南开大学",7698,"南开大学",10055,"天津",11,7968,587,29.16,0.1732793522,922446,1299.29,65.5,709.9615944093,10919,0.7297371554,"nankaidaxue",2090,638
"45",2011,"文科","南方医科大学",7953,"南方医科大学",12121,"广东",266,10919,580,5.27,0,4601306,10440.94,65.5,440.6984428605,10919,1,"nanfangyikedaxue",14.5,595
"46",2011,"文科","南昌大学",7986,"南昌大学",10403,"江西",11,10162,581,6.91,0.0388259109,945126,4462.2489,65.5,211.8048592045,10919,0.9306713069,"nanchangdaxue",775,598
"47",2011,"文科","厦门大学",8200,"厦门大学",10384,"福建",25,1995,612,26.03,0.1708502024,1473712,3693,65.5,399.0555104251,10919,0.1827090393,"shamendaxue",686,627
"48",2011,"文科","合肥工业大学",8299,"合肥工业大学",10359,"安徽",10,10919,580,7.28,0,1235933,5956.7,65.5,207.4861920191,10919,1,"hefeigongyedaxue",1212,595
"49",2011,"文科","吉林大学",8492,"吉林大学",10183,"吉林",10,5655,594,35.41,0.0680161943,866758,2746.6,65.5,315.5748925945,10919,0.51790457,"jilindaxue",3064,601
"50",2011,"文科","四川大学",8864,"四川大学",10610,"四川",20,3237,605,33.37,0.1396761134,1718548,8044.92,65.5,213.6190291513,10919,0.2964557194,"sichuandaxue",1581,614
"51",2011,"文科","复旦大学",9024,"复旦大学",10246,"上海",16,81,649,54.89,0.4696356275,1716598,2302.66,65.5,745.4847871592,10919,0.0074182617,"fudandaxue",1473,656
"52",2011,"文科","大连海事大学",9114,"大连海事大学",10151,"辽宁",12,9861,582,3.28,0,1845727,4375,65.5,421.8804571429,10919,0.9031046799,"dalianhaishidaxue",2259,602
"53",2011,"文科","天津财经大学",9447,"天津财经大学",10070,"天津",18,5863,594,1.39,0,922446,1299.29,65.5,709.9615944093,10919,0.5369539335,"tianjincaijingdaxue",2103,613
"54",2011,"文科","安徽大学",9541,"安徽大学",10357,"安徽",10,9896,582,5,0,1235933,5956.7,65.5,207.4861920191,10919,0.9063101017,"anhuidaxue",1253,595
"55",2011,"文科","对外经济贸易大学",9688,"对外经济贸易大学",10036,"北京",33,672,626,3.85,0.0481781377,1411358,1961.9,65.5,719.3832509302,10919,0.0615440974,"duiwaijingjimaoyidaxue",2136,640
"56",2011,"文科","山东大学",9916,"山东大学",10422,"山东",21,2949,606,29.13,0.0886639676,3916992,9587.87,65.5,408.5362025142,10919,0.2700796776,"shandongdaxue",1803,618
"57",2011,"文科","山东大学威海分校",9830,"山东大学",19422,"山东",18,8309,586,29.13,0.0886639676,3916992,9587.87,65.5,408.5362025142,10919,0.7609671215,"shandongdaxue",1803,597
"58",2011,"文科","广东外语外贸大学",10245,"广东外语外贸大学",11846,"广东",1993,5971,593,1.47,0.0279757085,4601306,10440.94,65.5,440.6984428605,10919,0.5468449492,"guangdongwaiyuwaiyudaxue",22.5,604
"59",2011,"文科","广东外语外贸大学",10245,"广东外语外贸大学",11846,"广东",1993,5971,593,1.47,0.0279757085,4601306,10440.94,65.5,440.6984428605,10919,0.5468449492,"guangdongwaiyuwaiyudaxue",22.5,604
"60",2011,"文科","广东外语外贸大学",10223,"广东外语外贸大学",11846,"广东",1993,5971,593,1.47,0.0279757085,4601306,10440.94,65.5,440.6984428605,10919,0.5468449492,"guangdongwaiyuwaimaodaxue",22.5,604
"61",2011,"文科","广东外语外贸大学",10223,"广东外语外贸大学",11846,"广东",1993,5971,593,1.47,0.0279757085,4601306,10440.94,65.5,440.6984428605,10919,0.5468449492,"guangdongwaiyuwaimaodaxue",22.5,604
"62",2011,"文科","广州中医药大学",10305,"广州中医药大学",10572,"广东",555,10919,580,3.11,0,4601306,10440.94,65.5,440.6984428605,10919,1,"guangzhouzhongyiyaodaxue",24.6,595
"63",2011,"文科","延边大学",10764,"延边大学",10184,"吉林",4,10919,580,2.94,0,866758,2746.6,65.5,315.5748925945,10919,1,"yanbiandaxue",3057,595
"64",2011,"文科","暨南大学",10917,"暨南大学",10559,"广东",601,2693,608,7.36,0.0680161943,4601306,10440.94,65.5,440.6984428605,10919,0.2466343072,"jinandaxue",10.2,614
"65",2011,"文科","武汉大学",11140,"武汉大学",10486,"湖北",38,1373,617,41.07,0.2692307692,1596761,5727.9143,65.5,278.7683118792,10919,0.1257441158,"wuhandaxue",984,631
