Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
147,上海外国语大学,10271,2010,理科,上海,上海外国语大学,8,2.94,0.0322633745,1504645,2210.2841277426,680.7473216291,1466
148,上海外国语大学,10271,2013,文科,上海,上海外国语大学,4,2.53,0.0279805353,2018172,2380.43,847.8182513243,1466
155,上海外国语大学,10271,2011,理科,上海,上海外国语大学,9,2.8,0.0293927126,1716598,2302.66,745.4847871592,1466
168,上海外国语大学,10271,2014,理科,上海,上海外国语大学,16,61.04,0,2160212,2415.15,894.4421671532,1466
181,上海外国语大学,10271,2012,文科,上海,上海外国语大学,5,2.86,0.0283987915,1919569,2347.46,817.7217077181,1466
189,上海外国语大学,10271,2012,理科,上海,上海外国语大学,10,2.86,0.0283987915,1919569,2347.46,817.7217077181,1466
201,上海外国语大学,10271,2010,文科,上海,上海外国语大学,8,2.94,0.0322633745,1504645,2210.2841277426,680.7473216291,1466
213,上海外国语大学,10271,2015,理科,上海,上海外国语大学,10,62.44,0,2356094,2426,971.1846661171,1466
226,上海外国语大学,10271,2015,文科,上海,上海外国语大学,6,62.44,0,2356094,2426,971.1846661171,1466
237,上海外国语大学,10271,2013,理科,上海,上海外国语大学,8,2.53,0.0279805353,2018172,2380.43,847.8182513243,1466
249,上海外国语大学,10271,2011,文科,上海,上海外国语大学,9,2.8,0.0293927126,1716598,2302.66,745.4847871592,1466
266,上海外国语大学,10271,2014,文科,上海,上海外国语大学,8,61.04,0,2160212,2415.15,894.4421671532,1466
291,上海大学,10280,2012,理科,上海,上海大学,22,8.16,0.0719033233,1919569,2347.46,817.7217077181,1473
