"","Year","University_Name_Location","Province","Topic","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"86",2010,"东北林业大学","黑龙江","文科",3,224.437468799088,10869,"K"
"87",2010,"西安建筑科技大学","陕西","文科",2,219.205795546016,10869,"K"
"88",2010,"长安大学","陕西","文科",4,219.205795546016,10869,"K"
"89",2010,"湖南师范大学","湖南","文科",22,203.866531376834,10869,"K"
"90",2010,"西北大学","陕西","文科",2,219.205795546016,10869,"K"
"91",2010,"西南政法大学","重庆","文科",65,228.401888772298,10869,"J"
"92",2010,"汕头大学","广东","文科",354,389.751600745512,10869,"K"
"93",2010,"西安外国语大学","陕西","文科",13,219.205795546016,10869,"K"
"94",2010,"清华大学","北京","理科",34,653.387096774194,29550,"C"
"95",2010,"上海外国语大学","上海","理科",8,680.747321629064,29550,"H"
"96",2010,"北京科技大学","北京","理科",31,653.387096774194,29550,"J"
"97",2010,"西南财经大学","四川","理科",36,172.892852779475,29550,"J"
"98",2010,"复旦大学","上海","理科",34,680.747321629064,29550,"E"
"99",2010,"北京大学医学部","北京","理科",15,653.387096774194,29550,"E"
"100",2010,"上海财经大学","上海","理科",26,680.747321629064,29550,"G"
"101",2010,"北京航空航天大学","北京","理科",47,653.387096774194,29550,"G"
"102",2010,"中国科学技术大学","安徽","理科",32,164.130158212363,29550,"F"
"103",2010,"北京外国语大学","北京","理科",8,653.387096774194,29550,"I"
"104",2010,"中国农业大学","北京","理科",50,653.387096774194,29550,"K"
"105",2010,"中国人民大学","北京","理科",36,653.387096774194,29550,"F"
"106",2010,"中国石油大学(北京)","北京","理科",15,653.387096774194,29550,"K"
"107",2010,"上海交通大学","上海","理科",43,680.747321629064,29550,"E"
"108",2010,"华南师范大学","广东","理科",1946,389.751600745512,29550,"K"
"109",2010,"广州中医药大学","广东","理科",1808,389.751600745512,29550,"K"
"110",2010,"东北师范大学","吉林","理科",6,265.691445675385,29550,"K"
"111",2010,"北京化工大学","北京","理科",50,653.387096774194,29550,"K"
"112",2010,"吉林大学","吉林","理科",90,265.691445675385,29550,"K"
"113",2010,"北京大学","北京","理科",16,653.387096774194,29550,"D"
"114",2010,"四川大学","四川","理科",93,172.892852779475,29550,"J"
"115",2010,"华南农业大学","广东","理科",5457,389.751600745512,29550,"K"
"116",2010,"华北电力大学(北京)","北京","理科",64,653.387096774194,29550,"K"
"117",2010,"北京工业大学","北京","理科",18,653.387096774194,29550,"K"
"118",2010,"西南交通大学","四川","理科",92,172.892852779475,29550,"K"
"119",2010,"广西大学","广西","理科",15,159.785008237232,29550,"K"
"120",2010,"中国海洋大学","山东","理科",80,357.925831283064,29550,"K"
"121",2010,"中国矿业大学(北京)","北京","理科",6,653.387096774194,29550,"K"
"122",2010,"天津财经大学","天津","理科",25,612.448703751954,29550,"K"
"123",2010,"华东理工大学","上海","理科",36,680.747321629064,29550,"J"
"124",2010,"中国石油大学(华东)","山东","理科",37,357.925831283064,29550,"K"
"125",2010,"江南大学","江苏","理科",27,441.179426726531,29550,"K"
"126",2010,"汕头大学","广东","理科",640,389.751600745512,29550,"K"
"127",2010,"南方医科大学","广东","理科",1693,389.751600745512,29550,"K"
"128",2010,"合肥工业大学","安徽","理科",108,164.130158212363,29550,"K"
"129",2010,"暨南大学","广东","理科",1253,389.751600745512,29550,"J"
"130",2010,"东华大学","上海","理科",38,680.747321629064,29550,"K"
"131",2010,"中国药科大学","江苏","理科",25,441.179426726531,29550,"K"
"132",2010,"南京航空航天大学","江苏","理科",40,441.179426726531,29550,"J"
"133",2010,"北京邮电大学","北京","理科",88,653.387096774194,29550,"J"
"134",2010,"上海理工大学","上海","理科",50,680.747321629064,29550,"K"
"135",2010,"南京信息工程大学","江苏","理科",17,441.179426726531,29550,"K"
"136",2010,"内蒙古大学","内蒙古","理科",11,396.231826280805,29550,"K"
"137",2010,"四川农业大学","四川","理科",20,172.892852779475,29550,"K"
"138",2010,"南京邮电大学","江苏","理科",47,441.179426726531,29550,"K"
"139",2010,"安徽大学","安徽","理科",10,164.130158212363,29550,"K"
"140",2010,"苏州大学","江苏","理科",24,441.179426726531,29550,"K"
"141",2010,"南京大学","江苏","理科",42,441.179426726531,29550,"F"
"142",2010,"上海大学","上海","理科",25,680.747321629064,29550,"K"
"143",2010,"北京第二外国语学院","北京","理科",12,653.387096774194,29550,"J"
"144",2010,"石家庄铁道大学","河北","理科",4,245.017059024224,29550,"K"
"145",2010,"中央民族大学","北京","理科",9,653.387096774194,29550,"K"
"146",2010,"燕山大学","河北","理科",5,245.017059024224,29550,"K"
"147",2010,"东北大学秦皇岛分校","河北","理科",40,245.017059024224,29550,"K"
"148",2010,"广州医科大学","广东","理科",408,389.751600745512,29550,"K"
"149",2010,"河北工业大学","河北","理科",10,245.017059024224,29550,"K"
"150",2010,"北京交通大学","北京","理科",71,653.387096774194,29550,"K"
"151",2010,"郑州大学","河南","理科",30,205.337380956145,29550,"K"
"152",2010,"中国地质大学(北京)","北京","理科",27,653.387096774194,29550,"K"
"153",2010,"北京理工大学","北京","理科",61,653.387096774194,29550,"J"
"154",2010,"浙江大学","浙江","理科",73,435.794711401763,29550,"F"
"155",2010,"温州医学院","浙江","理科",25,435.794711401763,29550,"K"
"156",2010,"北京中医药大学","北京","理科",2,653.387096774194,29550,"J"
"157",2010,"海南大学","海南","理科",116,191.443980233083,29550,"K"
"158",2010,"广西医科大学","广西","理科",12,159.785008237232,29550,"K"
"159",2010,"华中科技大学","湖北","理科",160,226.592657342657,29550,"I"
"160",2010,"武汉大学","湖北","理科",145,226.592657342657,29550,"I"
