"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"32",2010,"文科","华侨大学",6167,"华侨大学",10385,"福建",44,10832,595,1.3,0.0388477366,1223653,3666,61.5,333.784233497,10869,0.996595823,"huaqiaodaxue",674,518
"33",2010,"文科","华北电力大学(保定)",6379,"华北电力大学",10079,"河北",4,10701,595,4.46,0,1723548,7034.4,61.5,245.0170590242,10869,0.9845431962,"huabeidianlidaxue",1986,518
"34",2010,"文科","华南农业大学",6570,"华南农业大学",10564,"广东",1608,10869,595,5.58,0.0346090535,3948256,10130.1854628636,61.5,389.7516007455,10869,1,"huanannongyedaxue",12.2,518
"35",2010,"文科","华南师范大学",6686,"华南师范大学",10574,"广东",1347,9417,598,6.53,0.0477366255,3948256,10130.1854628636,61.5,389.7516007455,10869,0.8664090533,"huananshifandaxue",36.5,522
"36",2010,"文科","华南理工大学",6920,"华南理工大学",10561,"广东",203,6262,606,16.15,0.0736625514,3948256,10130.1854628636,61.5,389.7516007455,10869,0.576133959,"huananligongdaxue",11.9,521
"37",2010,"文科","南京大学",7240,"南京大学",10284,"江苏",17,267,647,43.99,0.1555555556,3445730,7810.269,61.5,441.1794267265,10869,0.0245652774,"nanjingdaxue",1380,564
"38",2010,"文科","南开大学",7803,"南开大学",10055,"天津",10,656,638,30.09,0.1600823045,752185,1228.16,61.5,612.448703752,10869,0.0603551385,"nankaidaxue",2090,525
"39",2010,"文科","南昌大学",8008,"南昌大学",10403,"江西",20,9384,598,7.42,0.0427983539,765518,4432.1581,61.5,172.7190192065,10869,0.8633728954,"nanchangdaxue",775,518
"40",2010,"文科","厦门大学",8241,"厦门大学",10384,"福建",22,1620,627,26.4,0.1189300412,1223653,3666,61.5,333.784233497,10869,0.1490477505,"shamendaxue",686,533
"41",2010,"文科","合肥工业大学",8371,"合肥工业大学",10359,"安徽",6,10869,595,7.12,0,1006282,6131,61.5,164.1301582124,10869,1,"hefeigongyedaxue",1212,518
"42",2010,"文科","吉林大学",8402,"吉林大学",10183,"吉林",10,7931,601,37.23,0.0740740741,727875,2739.55,61.5,265.6914456754,10869,0.7296899439,"jilindaxue",3064,530
"43",2010,"文科","四川大学",8851,"四川大学",10610,"四川",16,3955,614,34.18,0.121399177,1415128,8185,61.5,172.8928527795,10869,0.3638789217,"sichuandaxue",1581,536
"44",2010,"文科","复旦大学",8951,"复旦大学",10246,"上海",15,89,656,55.83,0.4526748971,1504645,2210.2841277426,61.5,680.7473216291,10869,0.0081884258,"fudandaxue",1473,581
"45",2010,"文科","大连海事大学",9118,"大连海事大学",10151,"辽宁",14,7594,602,3.38,0,1521250,4341,61.5,350.4376871689,10869,0.6986843316,"dalianhaishidaxue",2259,519
"46",2010,"文科","安徽大学",9540,"安徽大学",10357,"安徽",10,10835,595,5.11,0,1006282,6131,61.5,164.1301582124,10869,0.9968718373,"anhuidaxue",1253,520
"47",2010,"文科","对外经济贸易大学",9809,"对外经济贸易大学",10036,"北京",32,520,640,3.85,0.0502057613,1215300,1860,61.5,653.3870967742,10869,0.0478424878,"duiwaijingjimaoyidaxue",2136,549
"48",2010,"文科","山东大学",9860,"山东大学",10422,"山东",19,3093,618,28.98,0.0888888889,3389665,9470.3,61.5,357.9258312831,10869,0.2845707977,"shandongdaxue",1803,537
"49",2010,"文科","山东大学威海分校",9989,"山东大学",19422,"山东",12,9909,597,28.98,0.0888888889,3389665,9470.3,61.5,357.9258312831,10869,0.9116754071,"shandongdaxue",1803,519
