,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
1025,10614,电子科技大学,1642,四川,2387280,8076.2,295.5944627424,2013,10.06,0.0574209246,理科,150,14280,17,594,634,614,132,第一批
1026,10614,电子科技大学,1642,四川,2626077,8107,323.927100037,2014,64.47,0.0637987013,理科,135,14479,18,586,628,611,153,第一批
1027,10614,电子科技大学,1642,四川,2102668,8050,261.2009937888,2012,10.42,0.0598187311,理科,130,15960,18,570,632,595,121,第一批
1028,10614,电子科技大学,1642,四川,2853666,8140,350.5732186732,2015,65.89,0.0569422777,理科,135,12171,19,,,605,,第一批
1029,10614,电子科技大学,1642,四川,1718548,8044.92,213.6190291513,2011,10.02,0.0672064777,理科,120,15120,18,638,667,643,130,第一批
1030,10107,石家庄铁道大学,1850,河北,2657501,7287.51,364.6651599792,2013,1,0,理科,5,28079,26,523,574,559,23,第二批
1031,10107,石家庄铁道大学,1850,河北,2657501,7287.51,364.6651599792,2013,1,0,理科,5,28079,26,523,574,559,23,第二批
1032,10107,石家庄铁道大学,1850,黑龙江,1369158,3834.04,357.1058204922,2013,1,0,理科,5,28079,26,523,574,559,23,第二批
1033,10107,石家庄铁道大学,1850,黑龙江,1369158,3834.04,357.1058204922,2013,1,0,理科,5,28079,26,523,574,559,23,第二批
1034,10107,石家庄铁道大学,1850,黑龙江,1258200,3834.01,328.1681581425,2012,0,0,理科,5,30392,24,523,574,551,21,第二批
1035,10107,石家庄铁道大学,1850,黑龙江,1258200,3834.01,328.1681581425,2012,0,0,理科,5,30392,24,523,574,551,21,第二批
1036,10107,石家庄铁道大学,1850,河北,2451576,7240.51,338.5916185462,2012,0,0,理科,5,30392,24,523,574,551,21,第二批
1037,10107,石家庄铁道大学,1850,河北,2451576,7240.51,338.5916185462,2012,0,0,理科,5,30392,24,523,574,551,21,第二批
1038,10107,石家庄铁道大学,1850,黑龙江,1438293,3835.02,375.0418511507,2014,60.41,0,理科,10,40420,31,547,573,556,24,第二批
1039,10107,石家庄铁道大学,1850,黑龙江,1438293,3835.02,375.0418511507,2014,60.41,0,理科,10,40420,31,547,573,556,24,第二批
1040,10107,石家庄铁道大学,1850,河北,2830141,7332.61,385.9663885029,2014,60.41,0,理科,10,40420,31,547,573,556,24,第二批
1041,10107,石家庄铁道大学,1850,河北,2830141,7332.61,385.9663885029,2014,60.41,0,理科,10,40420,31,547,573,556,24,第二批
1042,10107,石家庄铁道大学,1850,黑龙江,1503938,3833,392.3657709366,2015,61.81,0,理科,13,43106,34,,,537,,第二批
1043,10107,石家庄铁道大学,1850,黑龙江,1503938,3833,392.3657709366,2015,61.81,0,理科,13,43106,34,,,537,,第二批
1044,10107,石家庄铁道大学,1850,河北,2942115,7384,398.4446099675,2015,61.81,0,理科,13,43106,34,,,537,,第二批
1045,10107,石家庄铁道大学,1850,河北,2942115,7384,398.4446099675,2015,61.81,0,理科,13,43106,34,,,537,,第二批
1046,10386,福州大学,1460,福建,1473712,3693,399.0555104251,2011,5.8,0.0269635628,理科,10,24811,20,627,651,632,10,第一批
1047,10386,福州大学,1460,福建,1970178,3748,525.6611526147,2013,6.4,0.0257907543,理科,16,20157,20,597,611,602,14,第一批
1048,10386,福州大学,1460,福建,2405576,3806,632.0483447189,2015,63.96,0,文科,4,10354,22,586,,588,,第一批
1049,10386,福州大学,1460,福建,1970178,3748,525.6611526147,2013,6.4,0.0257907543,文科,6,10000,19,591,595,592,4,第一批
1050,10386,福州大学,1460,福建,2175964,3774,576.5670376259,2014,62.93,0,文科,7,10616,19,594,603,597,6,第一批
1051,10386,福州大学,1460,福建,2405576,3806,632.0483447189,2015,63.96,0,理科,20,42223,27,560,,582,,第一批
1052,10386,福州大学,1460,福建,2175964,3774,576.5670376259,2014,62.93,0,理科,35,20219,31,595,607,599,16,第一批
1053,10386,福州大学,1460,福建,1756018,3720,472.0478494624,2012,5.91,0.0263746224,理科,16,20679,21,580,599,586,10,第一批
1054,10386,福州大学,1460,福建,1756018,3720,472.0478494624,2012,5.91,0.0263746224,文科,4,10919,21,581,585,583,3,第一批
1055,10285,苏州大学,1422,江苏,5405822,7919.98,682.555006452,2013,8.82,0.0274939173,理科,33,24387,20,591,613,601,26,第一批
1056,10285,苏州大学,1422,江苏,4142548,7869.34,526.4161924634,2011,8.57,0.0274898785,理科,24,26239,19,624,646,631,24,第一批
