,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
65,10224,2014,0,585.0,1438293,3835.02,375.041851150711,12,61.33,0.0,3301.0,12924.0,12924.0
66,10224,2015,1,551.0,1503938,3833.0,392.365770936603,24,62.94,0.0,3301.0,43106.0,41763.0
67,10224,2014,1,541.0,1438293,3835.02,375.041851150711,34,61.33,0.0,3301.0,40420.0,40420.0
68,10224,2015,0,576.0,1503938,3833.0,392.365770936603,6,62.94,0.0,3301.0,14000.0,13462.0
69,19145,2013,1,585.0,2657501,7287.51,364.665159979197,60,13.67,0.0316301703163017,2760.0,29207.0,29276.333333333332
70,10145,2012,1,576.0,2222670,4383.0,507.11156741957603,92,14.97,0.0323262839879154,2760.0,23179.0,23022.5
71,10145,2015,1,582.0,2862658,4391.0,651.937599635618,114,67.0,0.0357254290171607,2760.0,24234.0,23434.6
72,10145,2011,1,628.0,1845727,4375.0,421.880457142857,50,15.08,0.0393522267206478,2760.0,22866.0,22866.0
74,19145,2014,1,574.0,2830141,7332.61,385.966388502866,67,65.8,0.0402597402597403,2760.0,40420.0,32062.25
75,19145,2011,1,622.0,2039426,7193.6,283.505616103203,40,15.08,0.0393522267206478,2760.0,28230.0,28230.0
76,19145,2012,1,569.0,2451576,7240.51,338.59161854620703,46,14.97,0.0323262839879154,2760.0,30392.0,29311.0
77,10145,2014,1,590.0,2707765,4390.0,616.802961275626,126,65.8,0.0402597402597403,2760.0,23508.0,23234.75
78,10145,2013,1,592.0,2484643,4389.0,566.106858054226,119,13.67,0.0316301703163017,2760.0,23386.0,23143.666666666668
79,10200,2013,1,585.0,1193924,2750.4,434.091041303083,22,12.73,0.0250608272506083,3052.0,29207.0,28585.333333333332
80,10200,2012,0,581.0,1056883,2749.41,384.403562946232,4,11.08,0.024833836858005998,3052.0,10919.0,10691.5
81,10200,2011,0,597.0,866758,2746.6,315.57489259448,10,10.81,0.0,3052.0,10464.0,10464.0
82,10200,2011,0,,866758,2746.6,315.57489259448,10,10.81,0.0,3052.0,10464.0,10464.0
83,10200,2013,0,590.0,1193924,2750.4,434.091041303083,13,12.73,0.0250608272506083,3052.0,10000.0,10461.0
86,10200,2012,1,568.0,1056883,2749.41,384.403562946232,8,11.08,0.024833836858005998,3052.0,30392.0,28274.5
87,10200,2015,1,,1380381,2752.0,501.591933139535,25,66.34,0.0453978159126365,3052.0,29922.0,31219.6
88,10200,2015,0,,1380381,2752.0,501.591933139535,17,66.34,0.0453978159126365,3052.0,12062.0,10724.2
91,10200,2011,1,624.0,866758,2746.6,315.57489259448,9,10.81,0.0,3052.0,26157.0,26157.0
92,10200,2011,1,,866758,2746.6,315.57489259448,9,10.81,0.0,3052.0,26157.0,26157.0
93,10200,2014,1,574.0,1298146,2751.28,471.833473873979,17,65.27,0.0451298701298701,3052.0,40420.0,31544.0
94,10200,2014,0,594.0,1298146,2751.28,471.833473873979,13,65.27,0.0451298701298701,3052.0,10176.0,10389.75
95,10225,2011,1,567.0,1036860,3833.35,270.48404137373296,19,5.11,0.0,3294.0,29550.0,29550.0
97,10225,2015,1,568.0,1503938,3833.0,392.365770936603,24,63.42,0.0,3294.0,43106.0,34535.0
98,10225,2014,1,597.0,1438293,3835.02,375.041851150711,16,61.89,0.0,3294.0,40420.0,32392.25
99,10225,2011,0,606.0,1036860,3833.35,270.48404137373296,3,5.11,0.0,3294.0,6129.0,6129.0
101,10173,2012,0,581.0,2222670,4383.0,507.11156741957603,21,3.18,0.0,2246.0,10124.0,7078.5
102,10173,2011,0,614.0,1845727,4375.0,421.880457142857,20,3.38,0.0,2246.0,4033.0,4033.0
103,10173,2011,1,624.0,1845727,4375.0,421.880457142857,20,3.38,0.0,2246.0,15200.0,15200.0
104,10173,2015,1,,2862658,4391.0,651.937599635618,24,62.69,0.0,2246.0,24483.0,20551.4
105,10173,2014,0,594.0,2707765,4390.0,616.802961275626,29,61.29,0.0,2246.0,12924.0,8154.0
106,10173,2015,0,,2862658,4391.0,651.937599635618,16,62.69,0.0,2246.0,7889.0,8101.0
107,10173,2014,1,586.0,2707765,4390.0,616.802961275626,31,61.29,0.0,2246.0,26520.0,19568.5
108,10173,2012,1,568.0,2222670,4383.0,507.11156741957603,19,3.18,0.0,2246.0,19301.0,17250.5
109,10173,2013,1,597.0,2484643,4389.0,566.106858054226,31,3.15,0.0,2246.0,17253.0,17251.333333333332
112,10173,2013,0,601.0,2484643,4389.0,566.106858054226,29,3.15,0.0,2246.0,5535.0,6564.0
113,10255,2013,1,598.0,2018172,2380.43,847.818251324341,37,10.43,0.0311435523114355,1462.0,19489.0,21502.333333333332
114,10255,2015,1,,2356094,2426.0,971.1846661170649,32,63.71,0.0363494539781591,1462.0,21782.0,21822.2
115,10255,2012,1,558.0,1919569,2347.46,817.721707718129,36,7.73,0.0323262839879154,1462.0,23025.0,22509.0
