,Unnamed: 0,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Lowest_Ranking,Score,Ranking_Scores,Media_Impact,GDP,Population,Student_Population,GDP_Per_Person,X1A_Number,Ranking_Percentage,University_Name_Pinyin,Distance,Plan_Number_Total,New_Label,Label,Lowest,Last_Ranking,Average_Ranking
20,237,上海外国语大学,10271,2012,1,上海,上海外国语大学,10,5368,630,2.86,0.0283987915407855,1919569,2347.46,69.2,817.721707718129,29207,0.183791556818571,shanghaiwaiguoyudaxue,1466.0,726.0,17.0,18.0,597.0,5560.0,4542.0
21,249,上海外国语大学,10271,2011,0,上海,上海外国语大学,9,717,626,2.8,0.0293927125506073,1716598,2302.66,65.5,745.4847871591991,10919,0.0656653539701438,shanghaiwaiguoyudaxue,1466.0,183.0,9.0,10.0,637.0,706.0,706.0
22,291,上海大学,10280,2011,1,上海,上海大学,27,13602,591,8.18,0.0615384615384615,1716598,2302.66,65.5,745.4847871591991,30392,0.447551987365096,shanghaidaxue,1473.0,1691.0,28.0,24.0,635.0,17596.0,17596.0
23,307,上海大学,10280,2014,1,上海,上海大学,23,18425,591,63.49,0.0761363636363636,2160212,2415.15,75.6,894.4421671531791,43106,0.42743469586600497,shanghaidaxue,1473.0,10203.0,27.0,27.0,580.0,17408.0,16375.25
24,318,上海大学,10280,2013,1,上海,上海大学,40,17408,599,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,40420,0.430677882236517,shanghaidaxue,1473.0,17367.0,26.0,26.0,587.0,16895.0,16031.0
25,318,上海大学,10280,2013,1,上海,上海大学,40,17408,599,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,40420,0.430677882236517,shanghaidaxue,1473.0,17367.0,26.0,26.0,482.0,16895.0,16031.0
26,329,上海大学,10280,2012,1,上海,上海大学,22,16895,603,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,29207,0.5784572191597901,shanghaidaxue,1473.0,17249.0,30.0,30.0,579.0,13602.0,15599.0
27,329,上海大学,10280,2012,1,上海,上海大学,22,16895,603,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,29207,0.5784572191597901,shanghaidaxue,1473.0,17249.0,30.0,30.0,416.0,13602.0,15599.0
28,346,上海大学,10280,2015,1,上海,上海大学,10,16371,618,64.03,0.0673946957878315,2356094,2426.0,75.4,971.1846661170649,51000,0.321,shanghaidaxue,1473.0,6332.0,28.0,28.0,591.0,18425.0,16785.2
29,351,上海大学,10280,2013,0,上海,上海大学,3,3664,615,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,12924,0.283503559269576,shanghaidaxue,1473.0,2034.0,15.0,15.0,600.0,5894.0,4315.666666666667
30,351,上海大学,10280,2013,0,上海,上海大学,3,3664,615,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,12924,0.283503559269576,shanghaidaxue,1473.0,2034.0,16.0,15.0,485.0,5894.0,4315.666666666667
31,362,上海大学,10280,2011,0,上海,上海大学,3,2801,607,8.18,0.0615384615384615,1716598,2302.66,65.5,745.4847871591991,10919,0.256525322831761,shanghaidaxue,1473.0,333.0,17.0,17.0,613.0,4252.0,4252.0
32,373,上海大学,10280,2014,0,上海,上海大学,2,1876,619,63.49,0.0761363636363636,2160212,2415.15,75.6,894.4421671531791,14000,0.134,shanghaidaxue,1473.0,1174.0,13.0,13.0,615.0,3664.0,4152.75
33,386,上海大学,10280,2012,0,上海,上海大学,3,5894,600,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,10000,0.5894,shanghaidaxue,1473.0,2393.0,22.0,22.0,607.0,2801.0,3526.5
34,386,上海大学,10280,2012,0,上海,上海大学,3,5894,600,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,10000,0.5894,shanghaidaxue,1473.0,2393.0,22.0,22.0,465.0,2801.0,3526.5
37,444,上海理工大学,10252,2012,1,上海,上海理工大学,55,19247,599,1.89,0.0,1919569,2347.46,69.2,817.721707718129,29207,0.6589858595542161,shanghailigongdaxue,1484.0,17777.0,32.0,32.0,562.0,19761.0,20946.5
38,447,上海理工大学,10252,2014,1,上海,上海理工大学,59,26375,579,61.15,0.0,2160212,2415.15,75.6,894.4421671531791,43106,0.6118637776643621,shanghailigongdaxue,1484.0,27186.0,33.0,33.0,575.0,27201.0,22085.25
39,452,上海理工大学,10252,2015,1,上海,上海理工大学,59,24623,606,62.83,0.0,2356094,2426.0,75.4,971.1846661170649,51000,0.482803921568627,shanghailigongdaxue,1484.0,16242.0,33.0,33.0,579.0,26375.0,22943.2
40,453,上海理工大学,10252,2011,1,上海,上海理工大学,55,19761,581,1.85,0.0,1716598,2302.66,65.5,745.4847871591991,30392,0.650204001052909,shanghailigongdaxue,1484.0,6887.0,29.0,29.0,629.0,22132.0,22132.0
41,462,上海理工大学,10252,2013,1,上海,上海理工大学,69,27201,585,1.78,0.0,2018172,2380.43,72.7,847.818251324341,40420,0.672958931222167,shanghailigongdaxue,1484.0,25459.0,33.0,33.0,599.0,19247.0,20380.0
42,483,上海财经大学,10272,2013,0,上海,上海财经大学,13,818,636,5.15,0.0695863746958637,2018172,2380.43,72.7,847.818251324341,12924,0.0632930981120396,shanghaicaijingdaxue,1473.0,133.0,7.0,7.0,626.0,702.0,585.6666666666666
43,484,上海财经大学,10272,2015,1,上海,上海财经大学,38,1087,666,64.02,0.0794071762870515,2356094,2426.0,75.4,971.1846661170649,51000,0.0213137254901961,shanghaicaijingdaxue,1473.0,266.0,10.0,11.0,644.0,1697.0,1697.8
44,496,上海财经大学,10272,2014,1,上海,上海财经大学,37,1697,644,62.15,0.0733766233766234,2160212,2415.15,75.6,894.4421671531791,43106,0.0393680694102909,shanghaicaijingdaxue,1473.0,492.0,10.0,10.0,624.0,2583.0,1698.0
45,498,上海财经大学,10272,2014,0,上海,上海财经大学,16,1077,626,62.15,0.0733766233766234,2160212,2415.15,75.6,894.4421671531791,14000,0.0769285714285714,shanghaicaijingdaxue,1473.0,217.0,9.0,9.0,636.0,818.0,643.75
46,510,上海财经大学,10272,2011,1,上海,上海财经大学,25,1222,636,5.45,0.0744939271255061,1716598,2302.66,65.5,745.4847871591991,30392,0.0402079494603843,shanghaicaijingdaxue,1473.0,345.0,9.0,9.0,654.0,1633.0,1633.0
47,522,上海财经大学,10272,2015,0,上海,上海财经大学,16,561,631,64.02,0.0794071762870515,2356094,2426.0,75.4,971.1846661170649,16964,0.0330700306531478,shanghaicaijingdaxue,1473.0,120.0,9.0,8.0,628.0,1077.0,730.4
48,537,上海财经大学,10272,2011,0,上海,上海财经大学,10,479,631,5.45,0.0744939271255061,1716598,2302.66,65.5,745.4847871591991,10919,0.043868486125102996,shanghaicaijingdaxue,1473.0,118.0,9.0,8.0,639.0,576.0,576.0
49,545,上海财经大学,10272,2012,0,上海,上海财经大学,11,702,632,5.92,0.0676737160120846,1919569,2347.46,69.2,817.721707718129,10000,0.0702,shanghaicaijingdaxue,1473.0,131.0,9.0,8.0,617.0,479.0,527.5
50,557,上海财经大学,10272,2012,1,上海,上海财经大学,25,1354,653,5.92,0.0676737160120846,1919569,2347.46,69.2,817.721707718129,29207,0.0463587496148184,shanghaicaijingdaxue,1473.0,383.0,10.0,10.0,616.0,1222.0,1427.5
51,577,上海财经大学,10272,2013,1,上海,上海财经大学,32,2583,642,5.15,0.0695863746958637,2018172,2380.43,72.7,847.818251324341,40420,0.0639040079168728,shanghaicaijingdaxue,1473.0,616.0,11.0,11.0,640.0,1354.0,1403.0
52,624,东北农业大学,10224,2014,0,黑龙江,东北农业大学,12,14000,579,61.33,0.0,1438293,3835.02,75.6,375.041851150711,14000,1.0,dongbeinongyedaxue,3301.0,16544.0,30.0,30.0,585.0,12924.0,12924.0
53,631,东北农业大学,10224,2015,1,黑龙江,东北农业大学,24,51000,577,62.94,0.0,1503938,3833.0,75.4,392.365770936603,51000,1.0,dongbeinongyedaxue,3301.0,27559.0,47.0,47.0,551.0,43106.0,41763.0
54,637,东北农业大学,10224,2014,1,黑龙江,东北农业大学,34,43106,560,61.33,0.0,1438293,3835.02,75.6,375.041851150711,43106,1.0,dongbeinongyedaxue,3301.0,56158.0,43.0,43.0,541.0,40420.0,40420.0
55,650,东北农业大学,10224,2015,0,黑龙江,东北农业大学,6,16964,573,62.94,0.0,1503938,3833.0,75.4,392.365770936603,16964,1.0,dongbeinongyedaxue,3301.0,12911.0,34.0,34.0,576.0,14000.0,13462.0
56,663,东北大学,19145,2013,1,河北,东北大学秦皇岛分校,60,40420,574,13.67,0.0316301703163017,2657501,7287.51,72.7,364.665159979197,40420,1.0,dongbeidaxue,2760.0,36352.0,38.0,38.0,585.0,29207.0,29276.33333333333
57,674,东北大学,10145,2012,1,辽宁,东北大学,92,23386,592,14.97,0.0323262839879154,2222670,4383.0,69.2,507.11156741957603,29207,0.8006984626972992,dongbeidaxue,2760.0,22062.0,32.0,35.0,576.0,23179.0,23022.5
58,680,东北大学,10145,2015,1,辽宁,东北大学,114,20863,611,67.0,0.0357254290171607,2862658,4391.0,75.4,651.937599635618,51000,0.409078431372549,dongbeidaxue,2760.0,8696.0,31.0,31.0,582.0,24234.0,23434.6
59,686,东北大学,10145,2011,1,辽宁,东北大学,50,23179,576,15.08,0.0393522267206478,1845727,4375.0,65.5,421.880457142857,30392,0.762667807317715,dongbeidaxue,2760.0,7241.0,31.0,31.0,628.0,22866.0,22866.0
60,696,东北大学,19145,2014,1,河北,东北大学秦皇岛分校,67,43106,560,65.8,0.0402597402597403,2830141,7332.61,75.6,385.966388502866,43106,1.0,dongbeidaxue,2760.0,56158.0,42.0,43.0,574.0,40420.0,32062.25
61,702,东北大学,19145,2011,1,河北,东北大学秦皇岛分校,40,30392,568,15.08,0.0393522267206478,2039426,7193.6,65.5,283.505616103203,30392,1.0,dongbeidaxue,2760.0,9832.0,34.0,35.0,622.0,28230.0,28230.0
62,708,东北大学,19145,2012,1,河北,东北大学秦皇岛分校,46,29207,585,14.97,0.0323262839879154,2451576,7240.51,69.2,338.59161854620703,29207,1.0,dongbeidaxue,2760.0,35601.0,38.0,39.0,569.0,30392.0,29311.0
63,714,东北大学,10145,2014,1,辽宁,东北大学,126,24234,582,65.8,0.0402597402597403,2707765,4390.0,75.6,616.802961275626,43106,0.562195518025333,dongbeidaxue,2760.0,21036.0,32.0,32.0,590.0,23508.0,23234.75
64,718,东北大学,10145,2013,1,辽宁,东北大学,119,23508,590,13.67,0.0316301703163017,2484643,4389.0,72.7,566.106858054226,40420,0.58159327065809,dongbeidaxue,2760.0,22111.0,32.0,31.0,592.0,23386.0,23143.66666666667
65,733,东北师范大学,10200,2013,1,吉林,东北师范大学,22,40420,574,12.73,0.0250608272506083,1193924,2750.4,72.7,434.091041303083,40420,1.0,dongbeishifandaxue,3052.0,36352.0,37.0,38.0,585.0,29207.0,28585.33333333333
66,737,东北师范大学,10200,2012,0,吉林,东北师范大学,4,10000,589,11.08,0.024833836858005998,1056883,2749.41,69.2,384.403562946232,10000,1.0,dongbeishifandaxue,3052.0,16205.0,27.0,27.0,581.0,10919.0,10691.5
67,746,东北师范大学,10200,2011,0,吉林,东北师范大学,10,10919,580,10.81,0.0,866758,2746.6,65.5,315.57489259448,10919,1.0,dongbeishifandaxue,3052.0,6371.0,28.0,28.0,597.0,10464.0,10464.0
69,749,东北师范大学,10200,2013,0,吉林,东北师范大学,13,10176,595,12.73,0.0250608272506083,1193924,2750.4,72.7,434.091041303083,12924,0.787372330547818,dongbeishifandaxue,3052.0,5929.0,24.0,24.0,590.0,10000.0,10461.0
70,773,东北师范大学,10200,2012,1,吉林,东北师范大学,8,29207,585,11.08,0.024833836858005998,1056883,2749.41,69.2,384.403562946232,29207,1.0,dongbeishifandaxue,3052.0,35601.0,38.0,39.0,568.0,30392.0,28274.5
73,822,东北师范大学,10200,2011,1,吉林,东北师范大学,9,30392,568,10.81,0.0,866758,2746.6,65.5,315.57489259448,30392,1.0,dongbeishifandaxue,3052.0,9832.0,35.0,35.0,624.0,26157.0,26157.0
75,835,东北师范大学,10200,2014,1,吉林,东北师范大学,17,29922,575,65.27,0.0451298701298701,1298146,2751.28,75.6,471.833473873979,43106,0.694149306361063,dongbeishifandaxue,3052.0,28236.0,35.0,35.0,574.0,40420.0,31544.0
76,838,东北师范大学,10200,2014,0,吉林,东北师范大学,13,12062,582,65.27,0.0451298701298701,1298146,2751.28,75.6,471.833473873979,14000,0.8615714285714291,dongbeishifandaxue,3052.0,15471.0,29.0,29.0,594.0,10176.0,10389.75
77,877,东北林业大学,10225,2011,1,黑龙江,东北林业大学,19,30392,568,5.11,0.0,1036860,3833.35,65.5,270.48404137373296,30392,1.0,dongbeilinyedaxue,3294.0,9832.0,35.0,35.0,567.0,29550.0,29550.0
78,880,东北林业大学,10225,2015,1,黑龙江,东北林业大学,24,51000,577,63.42,0.0,1503938,3833.0,75.4,392.365770936603,51000,1.0,dongbeilinyedaxue,3294.0,27559.0,47.0,47.0,568.0,43106.0,34535.0
79,884,东北林业大学,10225,2014,1,黑龙江,东北林业大学,16,43106,560,61.89,0.0,1438293,3835.02,75.6,375.041851150711,43106,1.0,dongbeilinyedaxue,3294.0,56158.0,43.0,43.0,597.0,40420.0,32392.25
80,907,东北林业大学,10225,2011,0,黑龙江,东北林业大学,3,10919,580,5.11,0.0,1036860,3833.35,65.5,270.48404137373296,10919,1.0,dongbeilinyedaxue,3294.0,6371.0,21.0,28.0,606.0,6129.0,6129.0
81,1057,东北财经大学,10173,2012,0,辽宁,东北财经大学,21,5535,601,3.18,0.0,2222670,4383.0,69.2,507.11156741957603,10000,0.5535,dongbeicaijingdaxue,2246.0,2363.0,21.0,21.0,581.0,10124.0,7078.5
82,1061,东北财经大学,10173,2011,0,辽宁,东北财经大学,20,10124,581,3.38,0.0,1845727,4375.0,65.5,421.880457142857,10919,0.927191134719297,dongbeicaijingdaxue,2246.0,6371.0,18.0,28.0,614.0,4033.0,4033.0
83,1070,东北财经大学,10173,2011,1,辽宁,东北财经大学,20,19301,582,3.38,0.0,1845727,4375.0,65.5,421.880457142857,30392,0.635068439062911,dongbeicaijingdaxue,2246.0,2874.0,32.0,28.0,624.0,15200.0,15200.0
85,1096,东北财经大学,10173,2014,0,辽宁,东北财经大学,29,7889,593,61.29,0.0,2707765,4390.0,75.6,616.802961275626,14000,0.5635,dongbeicaijingdaxue,2246.0,11078.0,29.0,24.0,594.0,12924.0,8154.0
87,1114,东北财经大学,10173,2014,1,辽宁,东北财经大学,31,24483,582,61.29,0.0,2707765,4390.0,75.6,616.802961275626,43106,0.5679719760590171,dongbeicaijingdaxue,2246.0,21036.0,32.0,32.0,586.0,26520.0,19568.5
88,1126,东北财经大学,10173,2012,1,辽宁,东北财经大学,19,17253,602,3.18,0.0,2222670,4383.0,69.2,507.11156741957603,29207,0.59071455473003,dongbeicaijingdaxue,2246.0,17249.0,30.0,30.0,568.0,19301.0,17250.5
89,1138,东北财经大学,10173,2013,1,辽宁,东北财经大学,31,26520,586,3.15,0.0,2484643,4389.0,72.7,566.106858054226,40420,0.656110836219693,dongbeicaijingdaxue,2246.0,25459.0,29.0,33.0,597.0,17253.0,17251.333333333332
90,1171,东北财经大学,10173,2013,0,辽宁,东北财经大学,29,12924,594,3.15,0.0,2484643,4389.0,72.7,566.106858054226,12924,1.0,dongbeicaijingdaxue,2246.0,8919.0,25.0,25.0,601.0,5535.0,6564.0
91,1205,东华大学,10255,2013,1,上海,东华大学,37,22822,591,10.43,0.0311435523114355,2018172,2380.43,72.7,847.818251324341,40420,0.5646214745175661,donghuadaxue,1462.0,21917.0,32.0,30.0,598.0,19489.0,21502.33333333333
93,1210,东华大学,10255,2012,1,上海,东华大学,36,19489,598,7.73,0.0323262839879154,1919569,2347.46,69.2,817.721707718129,29207,0.667271544492759,donghuadaxue,1462.0,17777.0,32.0,32.0,558.0,23025.0,22509.0
94,1215,东华大学,10255,2014,1,上海,东华大学,32,21782,586,64.15,0.076461038961039,2160212,2415.15,75.6,894.4421671531791,43106,0.5053124855008579,donghuadaxue,1462.0,13084.0,30.0,30.0,579.0,22822.0,21832.25
95,1232,东华大学,10255,2011,1,上海,东华大学,36,23025,577,7.8,0.0374089068825911,1716598,2302.66,65.5,745.4847871591991,30392,0.7576006843906291,donghuadaxue,1462.0,7241.0,31.0,31.0,629.0,21993.0,21993.0
96,1241,东南大学,10286,2012,1,江苏,东南大学,50,9113,619,19.22,0.0779456193353474,4911027,7898.800668234179,69.2,621.743376782527,29207,0.312014243160886,dongnandaxue,1380.0,6436.0,22.0,22.0,594.0,11297.0,10265.5
97,1243,东南大学,10286,2011,1,江苏,东南大学,50,11297,596,19.73,0.0724696356275304,4142548,7869.34,65.5,526.416192463409,30392,0.371709660436957,dongnandaxue,1380.0,1320.0,22.0,22.0,648.0,9234.0,9234.0
98,1245,东南大学,10286,2013,1,江苏,东南大学,65,8187,619,21.17,0.0793187347931874,5405822,7919.98,72.7,682.555006452037,40420,0.20254824344384,dongnandaxue,1380.0,4066.0,18.0,18.0,619.0,9113.0,9881.333333333334
99,1251,东南大学,10286,2014,1,江苏,东南大学,62,9918,609,68.96,0.100324675324675,5916175,7939.49,75.6,745.1580643089169,43106,0.230083979028442,dongnandaxue,1380.0,6760.0,19.0,20.0,600.0,8187.0,9457.75
101,1281,中南大学,10533,2011,1,湖南,中南大学,205,13994,591,27.77,0.0761133603238866,1603796,6570.1,65.5,244.105264760049,30392,0.460450118452224,zhongnandaxue,662.0,1691.0,25.0,24.0,638.0,15261.0,15261.0
102,1285,中南大学,10533,2013,1,湖南,中南大学,293,13974,606,26.1,0.0695863746958637,2215423,6638.93,72.7,333.701816407162,40420,0.345719940623454,zhongnandaxue,662.0,9384.0,24.0,23.0,592.0,12514.0,13923.0
103,1291,中南大学,10533,2015,1,湖南,中南大学,280,12009,626,72.28,0.0925117004680187,2704846,6737.0,75.4,401.491168175746,51000,0.23547058823529396,zhongnandaxue,662.0,5670.0,25.0,25.0,603.0,12207.0,13590.0
104,1292,中南大学,10533,2014,0,湖南,中南大学,36,3992,606,70.54,0.0943181818181818,2450167,6690.6,75.6,366.210354826174,14000,0.285142857142857,zhongnandaxue,662.0,2415.0,18.0,18.0,611.0,4715.0,5606.0
105,1296,中南大学,10533,2012,1,湖南,中南大学,202,12514,611,27.62,0.0645015105740181,1966956,6595.6,69.2,298.22245133119,29207,0.428458931078166,zhongnandaxue,662.0,8605.0,26.0,26.0,591.0,13994.0,14627.5
106,1317,中南大学,10533,2013,0,湖南,中南大学,27,4715,611,26.1,0.0695863746958637,2215423,6638.93,72.7,333.701816407162,12924,0.36482513153822294,zhongnandaxue,662.0,2332.0,17.0,17.0,601.0,5533.0,5903.0
107,1331,中南大学,10533,2015,0,湖南,中南大学,32,3573,605,72.28,0.0925117004680187,2704846,6737.0,75.4,401.491168175746,16964,0.210622494694647,zhongnandaxue,662.0,1396.0,19.0,19.0,606.0,3992.0,5283.2
108,1344,中南大学,10533,2011,0,湖南,中南大学,22,6024,593,27.77,0.0761133603238866,1603796,6570.1,65.5,244.105264760049,10919,0.5516988735232161,zhongnandaxue,662.0,605.0,22.0,22.0,606.0,6152.0,6152.0
109,1371,中南大学,10533,2014,1,湖南,中南大学,280,12207,603,70.54,0.0943181818181818,2450167,6690.6,75.6,366.210354826174,43106,0.283185635410384,zhongnandaxue,662.0,8849.0,22.0,22.0,595.0,13974.0,13935.75
110,1385,中南大学,10533,2012,0,湖南,中南大学,20,5533,601,27.62,0.0645015105740181,1966956,6595.6,69.2,298.22245133119,10000,0.5533,zhongnandaxue,662.0,2363.0,19.0,21.0,580.0,6024.0,6088.0
115,1441,中南财经政法大学,10520,2012,0,湖北,中南财经政法大学,100,7078,597,5.87,0.0492447129909366,1963226,5758.0,69.2,340.956234803751,10000,0.7078,zhongnancaijingzhengfadaxue,979.0,2531.0,23.0,23.0,586.0,3731.0,3491.0
116,1443,中南财经政法大学,10520,2011,1,湖北,中南财经政法大学,120,21193,579,5.78,0.0493927125506073,1596761,5727.9143,65.5,278.768311879247,30392,0.6973216635956829,zhongnancaijingzhengfadaxue,979.0,7113.0,26.0,30.0,640.0,13535.0,13535.0
118,1448,中南财经政法大学,10520,2015,0,湖北,中南财经政法大学,113,2913,608,64.04,0.0580343213728549,2736704,5816.0,75.4,470.54745529573603,16964,0.171716576279179,zhongnancaijingzhengfadaxue,979.0,1279.0,17.0,17.0,611.0,3295.0,4260.4
120,1460,中南财经政法大学,10520,2013,0,湖北,中南财经政法大学,110,3947,614,5.13,0.0469586374695864,2225045,5779.0,72.7,385.02249524139097,12924,0.30540080470442604,zhongnancaijingzhengfadaxue,979.0,2208.0,18.0,16.0,595.0,7078.0,4686.666666666667
121,1465,中南财经政法大学,10520,2013,1,湖北,中南财经政法大学,136,14695,604,5.13,0.0469586374695864,2225045,5779.0,72.7,385.02249524139097,40420,0.36355764473033203,zhongnancaijingzhengfadaxue,979.0,9520.0,24.0,24.0,592.0,15752.0,16826.666666666668
122,1475,中南财经政法大学,10520,2015,1,湖北,中南财经政法大学,126,13739,623,64.04,0.0580343213728549,2736704,5816.0,75.4,470.54745529573603,51000,0.269392156862745,zhongnancaijingzhengfadaxue,979.0,6322.0,26.0,26.0,599.0,14841.0,16003.2
124,1483,中南财经政法大学,10520,2014,1,湖北,中南财经政法大学,129,14841,598,62.06,0.0574675324675325,2466849,5799.0,75.6,425.392136575272,43106,0.344290817983575,zhongnancaijingzhengfadaxue,979.0,9478.0,26.0,24.0,603.0,14695.0,16293.75
125,1505,中南财经政法大学,10520,2011,0,湖北,中南财经政法大学,97,3731,602,5.78,0.0493927125506073,1596761,5727.9143,65.5,278.768311879247,10919,0.34169795768843303,zhongnancaijingzhengfadaxue,979.0,509.0,19.0,19.0,609.0,3251.0,3251.0
127,1520,中南财经政法大学,10520,2012,1,湖北,中南财经政法大学,125,15752,605,5.87,0.0492447129909366,1963226,5758.0,69.2,340.956234803751,29207,0.53932276509056,zhongnancaijingzhengfadaxue,979.0,9455.0,30.0,29.0,574.0,21193.0,17364.0
