"","University_Name","UniversityNo","Year","Topic","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"483","上海财经大学",10272,2013,"文科","上海","上海财经大学",13,818,636,5.15,0.0695863746958637,2018172,2380.43,72.7,847.818251324341,12924,0.0632930981120396,"shanghaicaijingdaxue",1473
"484","上海财经大学",10272,2015,"理科","上海","上海财经大学",38,1087,666,64.02,0.0794071762870515,2356094,2426,75.4,971.184666117065,51000,0.0213137254901961,"shanghaicaijingdaxue",1473
"496","上海财经大学",10272,2014,"理科","上海","上海财经大学",37,1697,644,62.15,0.0733766233766234,2160212,2415.15,75.6,894.442167153179,43106,0.0393680694102909,"shanghaicaijingdaxue",1473
"498","上海财经大学",10272,2014,"文科","上海","上海财经大学",16,1077,626,62.15,0.0733766233766234,2160212,2415.15,75.6,894.442167153179,14000,0.0769285714285714,"shanghaicaijingdaxue",1473
"510","上海财经大学",10272,2011,"理科","上海","上海财经大学",25,1222,636,5.45,0.0744939271255061,1716598,2302.66,65.5,745.484787159199,30392,0.0402079494603843,"shanghaicaijingdaxue",1473
"522","上海财经大学",10272,2015,"文科","上海","上海财经大学",16,561,631,64.02,0.0794071762870515,2356094,2426,75.4,971.184666117065,16964,0.0330700306531478,"shanghaicaijingdaxue",1473
"537","上海财经大学",10272,2011,"文科","上海","上海财经大学",10,479,631,5.45,0.0744939271255061,1716598,2302.66,65.5,745.484787159199,10919,0.043868486125103,"shanghaicaijingdaxue",1473
"545","上海财经大学",10272,2012,"文科","上海","上海财经大学",11,702,632,5.92,0.0676737160120846,1919569,2347.46,69.2,817.721707718129,10000,0.0702,"shanghaicaijingdaxue",1473
"557","上海财经大学",10272,2012,"理科","上海","上海财经大学",25,1354,653,5.92,0.0676737160120846,1919569,2347.46,69.2,817.721707718129,29207,0.0463587496148184,"shanghaicaijingdaxue",1473
"577","上海财经大学",10272,2013,"理科","上海","上海财经大学",32,2583,642,5.15,0.0695863746958637,2018172,2380.43,72.7,847.818251324341,40420,0.0639040079168728,"shanghaicaijingdaxue",1473
"590","上海财经大学",10272,2010,"理科","上海","上海财经大学",26,1633,672,5.3,0.0781893004115226,1504645,2210.28412774259,61.5,680.747321629064,29550,0.0552622673434856,"shanghaicaijingdaxue",1473
"624","东北农业大学",10224,2014,"文科","黑龙江","东北农业大学",12,14000,579,61.33,0,1438293,3835.02,75.6,375.041851150711,14000,1,"dongbeinongyedaxue",3301
"627","东北农业大学",10224,2013,"文科","黑龙江","东北农业大学",21,12924,594,3.35,0,1369158,3834.04,72.7,357.105820492222,12924,1,"dongbeinongyedaxue",3301
"631","东北农业大学",10224,2015,"理科","黑龙江","东北农业大学",24,51000,577,62.94,0,1503938,3833,75.4,392.365770936603,51000,1,"dongbeinongyedaxue",3301
"637","东北农业大学",10224,2014,"理科","黑龙江","东北农业大学",34,43106,560,61.33,0,1438293,3835.02,75.6,375.041851150711,43106,1,"dongbeinongyedaxue",3301
"643","东北农业大学",10224,2013,"理科","黑龙江","东北农业大学",79,40420,574,3.35,0,1369158,3834.04,72.7,357.105820492222,40420,1,"dongbeinongyedaxue",3301
"650","东北农业大学",10224,2015,"文科","黑龙江","东北农业大学",6,16964,573,62.94,0,1503938,3833,75.4,392.365770936603,16964,1,"dongbeinongyedaxue",3301
"660","东北大学",19145,2015,"理科","河北","东北大学秦皇岛分校",67,50561,577,67,0.0357254290171607,2942115,7384,75.4,398.444609967497,51000,0.991392156862745,"dongbeidaxue",2760
"663","东北大学",19145,2013,"理科","河北","东北大学秦皇岛分校",60,40420,574,13.67,0.0316301703163017,2657501,7287.51,72.7,364.665159979197,40420,1,"dongbeidaxue",2760
"665","东北大学",19145,2010,"理科","河北","东北大学秦皇岛分校",40,28230,622,16.2,0.0465020576131687,1723548,7034.4,61.5,245.017059024224,29550,0.955329949238579,"dongbeidaxue",2760
"674","东北大学",10145,2012,"理科","辽宁","东北大学",92,23386,592,14.97,0.0323262839879154,2222670,4383,69.2,507.111567419576,29207,0.800698462697299,"dongbeidaxue",2760
"680","东北大学",10145,2015,"理科","辽宁","东北大学",114,20863,611,67,0.0357254290171607,2862658,4391,75.4,651.937599635618,51000,0.409078431372549,"dongbeidaxue",2760
"685","东北大学",60145,2015,"理科","辽宁","东北大学(中外合作办学专业)",15,51000,577,67,0.0357254290171607,2862658,4391,75.4,651.937599635618,51000,1,"dongbeidaxue",2760
"686","东北大学",10145,2011,"理科","辽宁","东北大学",50,23179,576,15.08,0.0393522267206478,1845727,4375,65.5,421.880457142857,30392,0.762667807317715,"dongbeidaxue",2760
"692","东北大学",10145,2010,"理科","辽宁","东北大学",42,22866,628,16.2,0.0465020576131687,1521250,4341,61.5,350.437687168855,29550,0.773807106598985,"dongbeidaxue",2760
"696","东北大学",19145,2014,"理科","河北","东北大学秦皇岛分校",67,43106,560,65.8,0.0402597402597403,2830141,7332.61,75.6,385.966388502866,43106,1,"dongbeidaxue",2760
"702","东北大学",19145,2011,"理科","河北","东北大学秦皇岛分校",40,30392,568,15.08,0.0393522267206478,2039426,7193.6,65.5,283.505616103203,30392,1,"dongbeidaxue",2760
"708","东北大学",19145,2012,"理科","河北","东北大学秦皇岛分校",46,29207,585,14.97,0.0323262839879154,2451576,7240.51,69.2,338.591618546207,29207,1,"dongbeidaxue",2760
"714","东北大学",10145,2014,"理科","辽宁","东北大学",126,24234,582,65.8,0.0402597402597403,2707765,4390,75.6,616.802961275626,43106,0.562195518025333,"dongbeidaxue",2760
"718","东北大学",10145,2013,"理科","辽宁","东北大学",119,23508,590,13.67,0.0316301703163017,2484643,4389,72.7,566.106858054226,40420,0.58159327065809,"dongbeidaxue",2760
"733","东北师范大学",10200,2013,"理科","吉林","东北师范大学",22,40420,574,12.73,0.0250608272506083,1193924,2750.4,72.7,434.091041303083,40420,1,"dongbeishifandaxue",3052
"737","东北师范大学",10200,2012,"文科","吉林","东北师范大学",4,10000,589,11.08,0.024833836858006,1056883,2749.41,69.2,384.403562946232,10000,1,"dongbeishifandaxue",3052
"746","东北师范大学",10200,2011,"文科","吉林","东北师范大学",10,10919,580,10.81,0,866758,2746.6,65.5,315.57489259448,10919,1,"dongbeishifandaxue",3052
"749","东北师范大学",10200,2013,"文科","吉林","东北师范大学",13,10176,595,12.73,0.0250608272506083,1193924,2750.4,72.7,434.091041303083,12924,0.787372330547818,"dongbeishifandaxue",3052
"761","东北师范大学",10200,2010,"文科","吉林","东北师范大学",4,10464,595,10.93,0.03,727875,2739.55,61.5,265.691445675385,10869,0.962738062379244,"dongbeishifandaxue",3052
"773","东北师范大学",10200,2012,"理科","吉林","东北师范大学",8,29207,585,11.08,0.024833836858006,1056883,2749.41,69.2,384.403562946232,29207,1,"dongbeishifandaxue",3052
"786","东北师范大学",10200,2015,"理科","吉林","东北师范大学",25,40295,587,66.34,0.0453978159126365,1380381,2752,75.4,501.591933139535,51000,0.790098039215686,"dongbeishifandaxue",3052
"798","东北师范大学",10200,2015,"文科","吉林","东北师范大学",17,11435,580,66.34,0.0453978159126365,1380381,2752,75.4,501.591933139535,16964,0.674074510728602,"dongbeishifandaxue",3052
"810","东北师范大学",10200,2010,"理科","吉林","东北师范大学",6,26157,624,10.93,0.03,727875,2739.55,61.5,265.691445675385,29550,0.885177664974619,"dongbeishifandaxue",3052
"822","东北师范大学",10200,2011,"理科","吉林","东北师范大学",9,30392,568,10.81,0,866758,2746.6,65.5,315.57489259448,30392,1,"dongbeishifandaxue",3052
"835","东北师范大学",10200,2014,"理科","吉林","东北师范大学",17,29922,575,65.27,0.0451298701298701,1298146,2751.28,75.6,471.833473873979,43106,0.694149306361063,"dongbeishifandaxue",3052
"838","东北师范大学",10200,2014,"文科","吉林","东北师范大学",13,12062,582,65.27,0.0451298701298701,1298146,2751.28,75.6,471.833473873979,14000,0.861571428571429,"dongbeishifandaxue",3052
"877","东北林业大学",10225,2011,"理科","黑龙江","东北林业大学",19,30392,568,5.11,0,1036860,3833.35,65.5,270.484041373733,30392,1,"dongbeilinyedaxue",3294
"878","东北林业大学",10225,2010,"理科","黑龙江","东北林业大学",16,29550,621,5.46,0,858700,3826.01,61.5,224.437468799088,29550,1,"dongbeilinyedaxue",3294
"880","东北林业大学",10225,2015,"理科","黑龙江","东北林业大学",24,51000,577,63.42,0,1503938,3833,75.4,392.365770936603,51000,1,"dongbeilinyedaxue",3294
"884","东北林业大学",10225,2014,"理科","黑龙江","东北林业大学",16,43106,560,61.89,0,1438293,3835.02,75.6,375.041851150711,43106,1,"dongbeilinyedaxue",3294
"907","东北林业大学",10225,2011,"文科","黑龙江","东北林业大学",3,10919,580,5.11,0,1036860,3833.35,65.5,270.484041373733,10919,1,"dongbeilinyedaxue",3294
"917","东北林业大学",10225,2014,"文科","黑龙江","东北林业大学",4,14000,579,61.89,0,1438293,3835.02,75.6,375.041851150711,14000,1,"dongbeilinyedaxue",3294
"929","东北林业大学",10225,2013,"理科","黑龙江","东北林业大学",26,40420,574,4.21,0,1369158,3834.04,72.7,357.105820492222,40420,1,"dongbeilinyedaxue",3294
"947","东北林业大学",10225,2013,"文科","黑龙江","东北林业大学",4,12924,594,4.21,0,1369158,3834.04,72.7,357.105820492222,12924,1,"dongbeilinyedaxue",3294
"961","东北林业大学",10225,2015,"文科","黑龙江","东北林业大学",6,16964,573,63.42,0,1503938,3833,75.4,392.365770936603,16964,1,"dongbeilinyedaxue",3294
"973","东北林业大学",10225,2012,"文科","黑龙江","东北林业大学",3,10000,589,5.02,0,1258200,3834.01,69.2,328.168158142519,10000,1,"dongbeilinyedaxue",3294
"985","东北林业大学",10225,2010,"文科","黑龙江","东北林业大学",3,6129,606,5.46,0,858700,3826.01,61.5,224.437468799088,10869,0.563897322660778,"dongbeilinyedaxue",3294
"997","东北林业大学",10225,2012,"理科","黑龙江","东北林业大学",23,29207,585,5.02,0,1258200,3834.01,69.2,328.168158142519,29207,1,"dongbeilinyedaxue",3294
"1021","东北石油大学",10220,2015,"理科","黑龙江","东北石油大学",46,51000,577,61.96,0,1503938,3833,75.4,392.365770936603,51000,1,"dongbeishiyoudaxue",3330
"1022","东北石油大学",10220,2010,"理科","黑龙江","东北石油大学",5,28693,621,0,0,858700,3826.01,61.5,224.437468799088,29550,0.970998307952623,"dongbeishiyoudaxue",3330
"1023","东北石油大学",10220,2011,"理科","黑龙江","东北石油大学",5,30392,568,0,0,1036860,3833.35,65.5,270.484041373733,30392,1,"dongbeishiyoudaxue",3330
"1031","东北石油大学",10220,2013,"理科","黑龙江","东北石油大学",60,40420,574,1.86,0,1369158,3834.04,72.7,357.105820492222,40420,1,"dongbeishiyoudaxue",3330
"1034","东北石油大学",10220,2014,"理科","黑龙江","东北石油大学",46,43106,560,60.8,0,1438293,3835.02,75.6,375.041851150711,43106,1,"dongbeishiyoudaxue",3330
"1043","东北石油大学",10220,2012,"理科","黑龙江","东北石油大学",5,29207,585,0,0,1258200,3834.01,69.2,328.168158142519,29207,1,"dongbeishiyoudaxue",3330
"1057","东北财经大学",10173,2012,"文科","辽宁","东北财经大学",21,5535,601,3.18,0,2222670,4383,69.2,507.111567419576,10000,0.5535,"dongbeicaijingdaxue",2246
"1061","东北财经大学",10173,2011,"文科","辽宁","东北财经大学",20,10124,581,3.38,0,1845727,4375,65.5,421.880457142857,10919,0.927191134719297,"dongbeicaijingdaxue",2246
"1070","东北财经大学",10173,2011,"理科","辽宁","东北财经大学",20,19301,582,3.38,0,1845727,4375,65.5,421.880457142857,30392,0.635068439062911,"dongbeicaijingdaxue",2246
"1080","东北财经大学",10173,2015,"理科","辽宁","东北财经大学",24,21436,610,62.69,0,2862658,4391,75.4,651.937599635618,51000,0.420313725490196,"dongbeicaijingdaxue",2246
"1096","东北财经大学",10173,2014,"文科","辽宁","东北财经大学",29,7889,593,61.29,0,2707765,4390,75.6,616.802961275626,14000,0.5635,"dongbeicaijingdaxue",2246
"1110","东北财经大学",10173,2015,"文科","辽宁","东北财经大学",16,5860,595,62.69,0,2862658,4391,75.4,651.937599635618,16964,0.345437396840368,"dongbeicaijingdaxue",2246
"1114","东北财经大学",10173,2014,"理科","辽宁","东北财经大学",31,24483,582,61.29,0,2707765,4390,75.6,616.802961275626,43106,0.567971976059017,"dongbeicaijingdaxue",2246
"1122","东北财经大学",60173,2015,"理科","辽宁","东北财经大学(中外合作办学专业)",10,51000,577,62.69,0,2862658,4391,75.4,651.937599635618,51000,1,"dongbeicaijingdaxue",2246
"1124","东北财经大学",60173,2015,"文科","辽宁","东北财经大学(中外合作办学专业)",10,16964,573,62.69,0,2862658,4391,75.4,651.937599635618,16964,1,"dongbeicaijingdaxue",2246
"1126","东北财经大学",10173,2012,"理科","辽宁","东北财经大学",19,17253,602,3.18,0,2222670,4383,69.2,507.111567419576,29207,0.59071455473003,"dongbeicaijingdaxue",2246
"1138","东北财经大学",10173,2013,"理科","辽宁","东北财经大学",31,26520,586,3.15,0,2484643,4389,72.7,566.106858054226,40420,0.656110836219693,"dongbeicaijingdaxue",2246
"1147","东北财经大学",10173,2010,"理科","辽宁","东北财经大学",20,15200,638,3.32,0,1521250,4341,61.5,350.437687168855,29550,0.514382402707276,"dongbeicaijingdaxue",2246
"1159","东北财经大学",10173,2010,"文科","辽宁","东北财经大学",20,4033,614,3.32,0,1521250,4341,61.5,350.437687168855,10869,0.371055294875334,"dongbeicaijingdaxue",2246
"1171","东北财经大学",10173,2013,"文科","辽宁","东北财经大学",29,12924,594,3.15,0,2484643,4389,72.7,566.106858054226,12924,1,"dongbeicaijingdaxue",2246
"1205","东华大学",10255,2013,"理科","上海","东华大学",37,22822,591,10.43,0.0311435523114355,2018172,2380.43,72.7,847.818251324341,40420,0.564621474517566,"donghuadaxue",1462
"1206","东华大学",10255,2015,"理科","上海","东华大学",32,19988,612,63.71,0.0363494539781591,2356094,2426,75.4,971.184666117065,51000,0.391921568627451,"donghuadaxue",1462
"1210","东华大学",10255,2012,"理科","上海","东华大学",36,19489,598,7.73,0.0323262839879154,1919569,2347.46,69.2,817.721707718129,29207,0.667271544492759,"donghuadaxue",1462
"1215","东华大学",10255,2014,"理科","上海","东华大学",32,21782,586,64.15,0.076461038961039,2160212,2415.15,75.6,894.442167153179,43106,0.505312485500858,"donghuadaxue",1462
"1222","东华大学",10255,2010,"理科","上海","东华大学",38,21993,629,7.71,0.0440329218106996,1504645,2210.28412774259,61.5,680.747321629064,29550,0.744263959390863,"donghuadaxue",1462
"1232","东华大学",10255,2011,"理科","上海","东华大学",36,23025,577,7.8,0.0374089068825911,1716598,2302.66,65.5,745.484787159199,30392,0.757600684390629,"donghuadaxue",1462
"1241","东南大学",10286,2012,"理科","江苏","东南大学",50,9113,619,19.22,0.0779456193353474,4911027,7898.80066823418,69.2,621.743376782527,29207,0.312014243160886,"dongnandaxue",1380
"1243","东南大学",10286,2011,"理科","江苏","东南大学",50,11297,596,19.73,0.0724696356275304,4142548,7869.34,65.5,526.416192463409,30392,0.371709660436957,"dongnandaxue",1380
"1245","东南大学",10286,2013,"理科","江苏","东南大学",65,8187,619,21.17,0.0793187347931874,5405822,7919.98,72.7,682.555006452037,40420,0.20254824344384,"dongnandaxue",1380
"1251","东南大学",10286,2014,"理科","江苏","东南大学",62,9918,609,68.96,0.100324675324675,5916175,7939.49,75.6,745.158064308917,43106,0.230083979028442,"dongnandaxue",1380
"1253","东南大学",10286,2015,"理科","江苏","东南大学",67,7680,637,69.69,0.0962558502340094,6508832,7960,75.4,817.692462311558,51000,0.150588235294118,"dongnandaxue",1380
"1268","东南大学",10286,2010,"理科","江苏","东南大学",40,9234,648,19.43,0.0761316872427984,3445730,7810.269,61.5,441.179426726531,29550,0.31248730964467,"dongnandaxue",1380
"1277","中北大学",10110,2015,"文科","山西","中北大学",6,16964,573,62.49,0,1275944,3648,75.4,349.765350877193,16964,1,"zhongbeidaxue",2090
"1279","中北大学",10110,2015,"理科","山西","中北大学",94,51000,577,62.49,0,1275944,3648,75.4,349.765350877193,51000,1,"zhongbeidaxue",2090
"1281","中南大学",10533,2011,"理科","湖南","中南大学",205,13994,591,27.77,0.0761133603238866,1603796,6570.1,65.5,244.105264760049,30392,0.460450118452224,"zhongnandaxue",662
"1284","中南大学",10533,2010,"理科","湖南","中南大学",236,15261,638,28.22,0.0691358024691358,1305969,6406,61.5,203.866531376834,29550,0.516446700507614,"zhongnandaxue",662
"1285","中南大学",10533,2013,"理科","湖南","中南大学",293,13974,606,26.1,0.0695863746958637,2215423,6638.93,72.7,333.701816407162,40420,0.345719940623454,"zhongnandaxue",662
"1291","中南大学",10533,2015,"理科","湖南","中南大学",280,12009,626,72.28,0.0925117004680187,2704846,6737,75.4,401.491168175746,51000,0.235470588235294,"zhongnandaxue",662
