"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"67",2010,10635,9.33,"重庆","文科",0.0633744855967078,13,228.401888772298,10869,57
"68",2010,10290,10.77,"江苏","文科",NA,12,441.179426726531,10869,56
"69",2010,10200,10.93,"吉林","文科",0.03,4,265.691445675385,10869,59
"70",2010,10357,5.11,"安徽","文科",NA,10,164.130158212363,10869,59
"71",2010,10559,7.1,"广东","文科",0.0650205761316872,649,389.751600745512,10869,49
"72",2010,10610,34.18,"四川","文科",0.121399176954733,16,172.892852779475,10869,49
"73",2010,10151,3.38,"辽宁","文科",NA,14,350.437687168855,10869,56
"74",2010,10422,28.98,"山东","文科",0.0888888888888889,19,357.925831283064,10869,46
"75",2010,10491,11.73,"湖北","文科",0.0415637860082304,12,226.592657342657,10869,57
"76",2010,10712,8.9,"陕西","文科",NA,6,219.205795546016,10869,59
"77",2010,10564,5.58,"广东","文科",0.0346090534979424,1608,389.751600745512,10869,59
"78",2010,10294,8.16,"江苏","文科",NA,11,441.179426726531,10869,58
"79",2010,10213,28.32,"黑龙江","文科",0.0555555555555556,2,224.437468799088,10869,53
"80",2010,10611,15.33,"重庆","文科",0.060082304526749,12,228.401888772298,10869,54
"81",2010,10284,43.99,"江苏","文科",0.155555555555556,17,441.179426726531,10869,21
"82",2010,12121,5.29,"广东","文科",NA,200,389.751600745512,10869,59
"83",2010,10718,5.82,"陕西","文科",NA,10,219.205795546016,10869,59
"84",2010,10532,13.84,"湖南","文科",0.0576131687242798,23,203.866531376834,10869,52
"85",2010,10359,7.12,"安徽","文科",NA,6,164.130158212363,10869,59
"86",2010,10225,5.46,"黑龙江","文科",NA,3,224.437468799088,10869,53
"87",2010,10703,2.72,"陕西","文科",NA,2,219.205795546016,10869,59
"88",2010,10710,7.86,"陕西","文科",NA,4,219.205795546016,10869,59
"89",2010,10542,8.28,"湖南","文科",0.0309053497942387,22,203.866531376834,10869,57
"90",2010,10697,11.58,"陕西","文科",0.0477366255144033,2,219.205795546016,10869,58
"91",2010,10652,3.81,"重庆","文科",0.0306172839506173,65,228.401888772298,10869,49
"92",2010,10560,1.81,"广东","文科",NA,354,389.751600745512,10869,59
"93",2010,10724,NA,"陕西","文科",NA,13,219.205795546016,10869,55
"233",2011,10248,43.63,"上海","文科",0.246558704453441,1,745.484787159199,10919,1
"234",2011,10280,8.18,"上海","文科",0.0615384615384615,3,745.484787159199,10919,45
"235",2011,10589,4.75,"海南","文科",0.0353036437246964,53,237.695008922918,10919,59
"236",2011,10004,10.87,"北京","文科",0.0404858299595142,5,719.383250930221,10919,46
"237",2011,10593,4.7,"广西","文科",0.0265991902834008,4,207.588937093275,10919,59
"238",2011,10019,20,"北京","文科",0.108906882591093,5,719.383250930221,10919,55
"239",2011,10290,11.94,"江苏","文科",NA,8,526.416192463409,10919,59
"240",2011,10271,2.8,"上海","文科",0.0293927125506073,9,745.484787159199,10919,31
"241",2011,10294,8.44,"江苏","文科",NA,13,526.416192463409,10919,56
"242",2011,10300,1.15,"江苏","文科",NA,6,526.416192463409,10919,59
"243",2011,10272,5.45,"上海","文科",0.0744939271255061,10,745.484787159199,10919,27
"244",2011,10316,3.46,"江苏","文科",NA,2,526.416192463409,10919,59
"245",2011,10276,1.33,"上海","文科",0.0293117408906883,23,745.484787159199,10919,51
"246",2011,10246,54.89,"上海","文科",0.469635627530364,16,745.484787159199,10919,8
"247",2011,10284,42.47,"江苏","文科",0.155060728744939,18,526.416192463409,10919,21
"248",2011,10022,7.66,"北京","文科",NA,17,719.383250930221,10919,56
"249",2011,10486,41.07,"湖北","文科",0.269230769230769,38,278.768311879247,10919,38
"250",2011,10036,3.85,"北京","文科",0.0481781376518219,33,719.383250930221,10919,30
"251",2011,10126,5.47,"内蒙古","文科",NA,5,472.13390610716,10919,59
"252",2011,10422,29.13,"山东","文科",0.088663967611336,21,408.536202514218,10919,46
"253",2011,10010,7.76,"北京","文科",NA,12,719.383250930221,10919,59
"254",2011,10530,4.58,"湖南","文科",NA,27,244.105264760049,10919,59
"255",2011,10293,1.45,"江苏","文科",NA,4,526.416192463409,10919,57
"256",2011,10718,5.8,"陕西","文科",NA,22,271.043641231593,10919,59
"257",2011,10030,3.65,"北京","文科",0.0320242914979757,9,719.383250930221,10919,19
"258",2011,10542,8.25,"湖南","文科",0.0302834008097166,24,244.105264760049,10919,59
"259",2011,10054,4.39,"北京","文科",NA,9,719.383250930221,10919,56
"260",2011,11415,11.82,"北京","文科",0.0359919028340081,4,719.383250930221,10919,51
"261",2011,10403,6.91,"江西","文科",0.0388259109311741,11,211.804859204515,10919,59
"262",2011,10184,2.94,"吉林","文科",NA,4,315.57489259448,10919,59
"263",2011,10385,1.64,"福建","文科",0.0312145748987854,48,399.055510425129,10919,59
"264",2011,10107,NA,"河北","文科",NA,1,283.505616103203,10919,59
"265",2011,10183,35.41,"吉林","文科",0.0680161943319838,10,315.57489259448,10919,53
"266",2011,10200,10.81,"吉林","文科",NA,10,315.57489259448,10919,59
"267",2011,10031,NA,"北京","文科",NA,9,719.383250930221,10919,48
"268",2011,10613,10.15,"四川","文科",NA,7,213.619029151315,10919,57
"269",2011,10003,94.72,"北京","文科",0.882591093117409,2,719.383250930221,10919,1
"270",2011,10005,7.54,"北京","文科",0.0325910931174089,6,719.383250930221,10919,59
"271",2011,10001,100,"北京","文科",1,12,719.383250930221,10919,1
"272",2011,11414,11.06,"北京","文科",0.059919028340081,2,719.383250930221,10919,52
"273",2011,10151,3.28,"辽宁","文科",NA,12,421.880457142857,10919,58
"274",2011,10006,21.96,"北京","文科",0.0748987854251012,3,719.383250930221,10919,37
"275",2011,10610,33.37,"四川","文科",0.139676113360324,20,213.619029151315,10919,47
"276",2011,10056,21.98,"天津","文科",0.0757085020242915,2,709.961594409254,10919,47
"277",2011,10055,29.16,"天津","文科",0.173279352226721,11,709.961594409254,10919,56
"278",2011,10034,4.6,"北京","文科",0.240890688259109,23,719.383250930221,10919,27
"279",2011,10053,5.85,"北京","文科",0.17004048582996,48,719.383250930221,10919,33
"280",2011,10497,8.82,"湖北","文科",0.042914979757085,16,278.768311879247,10919,57
"281",2011,10635,9.96,"重庆","文科",0.0603238866396761,7,274.753000395199,10919,57
"282",2011,10002,35.65,"北京","文科",0.493927125506073,35,719.383250930221,10919,12
"283",2011,10052,5.97,"北京","文科",0.0502024291497976,8,719.383250930221,10919,55
"284",2011,10007,16.6,"北京","文科",0.0765182186234818,5,719.383250930221,10919,46
"285",2011,10033,NA,"北京","文科",NA,13,719.383250930221,10919,36
"286",2011,10043,NA,"北京","文科",NA,6,719.383250930221,10919,56
"287",2011,10295,5.37,"江苏","文科",NA,23,526.416192463409,10919,57
"288",2011,10423,11.21,"山东","文科",0.0284615384615385,14,408.536202514218,10919,55
"289",2011,10504,10.24,"湖北","文科",0.030080971659919,12,278.768311879247,10919,59
"290",2011,10107,NA,"黑龙江","文科",NA,1,270.484041373733,10919,59
"291",2011,10386,5.8,"福建","文科",0.0269635627530364,4,399.055510425129,10919,59
"292",2011,10699,17.08,"陕西","文科",NA,4,271.043641231593,10919,58
"293",2011,10533,27.77,"湖南","文科",0.0761133603238866,22,244.105264760049,10919,53
"294",2011,10697,11.63,"陕西","文科",0.0449392712550607,2,271.043641231593,10919,59
"295",2011,19422,29.13,"山东","文科",0.088663967611336,18,408.536202514218,10919,57
"296",2011,10572,3.11,"广东","文科",NA,555,440.698442860509,10919,59
"297",2011,10140,4.79,"辽宁","文科",0.032914979757085,43,421.880457142857,10919,59
"298",2011,12121,5.27,"广东","文科",NA,266,440.698442860509,10919,59
"299",2011,10532,14.05,"湖南","文科",0.0663967611336032,24,244.105264760049,10919,50
"300",2011,10032,1.58,"北京","文科",NA,15,719.383250930221,10919,43
"301",2011,10730,14.61,"甘肃","文科",0.0449392712550607,26,160.968054437925,10919,58
"302",2011,10560,1.78,"广东","文科",NA,327,440.698442860509,10919,59
"303",2011,10698,26.73,"陕西","文科",0.0898785425101215,2,271.043641231593,10919,54
"304",2011,10173,3.38,"辽宁","文科",NA,20,421.880457142857,10919,59
"305",2011,10335,52.91,"浙江","文科",0.261133603238866,16,508.992180313632,10919,18
"306",2011,10574,6.61,"广东","文科",0.0522267206477733,1265,440.698442860509,10919,56
"307",2011,10384,26.03,"福建","文科",0.17085020242915,25,399.055510425129,10919,42
"308",2011,10225,5.11,"黑龙江","文科",NA,3,270.484041373733,10919,59
"309",2011,10724,NA,"陕西","文科",NA,19,271.043641231593,10919,56
"310",2011,10652,3.77,"重庆","文科",0.0389878542510121,67,274.753000395199,10919,53
"311",2011,10559,7.36,"广东","文科",0.0680161943319838,601,440.698442860509,10919,45
"312",2011,10651,4.34,"四川","文科",0.0518218623481781,24,213.619029151315,10919,48
"313",2011,11846,1.47,"广东","文科",0.0279757085020243,1993,440.698442860509,10919,53
"314",2011,10561,16.47,"广东","文科",0.0748987854251012,205,440.698442860509,10919,49
"315",2011,10564,6.25,"广东","文科",0.0404858299595142,1499,440.698442860509,10919,59
"316",2011,10070,1.39,"天津","文科",NA,18,709.961594409254,10919,53
"317",2011,10611,15.19,"重庆","文科",0.0712550607287449,10,274.753000395199,10919,52
"318",2011,10359,7.28,"安徽","文科",NA,10,207.486192019071,10919,59
"319",2011,10491,11.82,"湖北","文科",0.0359919028340081,16,278.768311879247,10919,58
"320",2011,10357,5,"安徽","文科",NA,10,207.486192019071,10919,58
"321",2011,10558,33.78,"广东","文科",0.259514170040486,925,440.698442860509,10919,40
"322",2011,10511,11.7,"湖北","文科",0.0643724696356275,17,278.768311879247,10919,56
"323",2011,10657,5,"贵州","文科",NA,2,132.283989652199,10919,59
"324",2011,10079,4.39,"河北","文科",NA,4,283.505616103203,10919,59
"325",2011,10459,8.94,"河南","文科",0.0672064777327935,10,245.520532200943,10919,58
"326",2011,10285,8.57,"江苏","文科",0.0274898785425101,6,526.416192463409,10919,55
"327",2011,10487,33.77,"湖北","文科",0.116599190283401,22,278.768311879247,10919,54
"328",2011,10520,5.78,"湖北","文科",0.0493927125506073,97,278.768311879247,10919,48
"472",2012,10248,42.52,"上海","文科",0.165558912386707,1,817.721707718129,10000,26
"473",2012,10459,8.58,"河南","文科",0.0673716012084592,26,286.859198316191,10000,59
"474",2012,10269,21.25,"上海","文科",0.0894259818731118,8,817.721707718129,10000,45
"475",2012,10558,33.77,"广东","文科",0.250453172205438,914,506.523369823893,10000,41
"476",2012,10280,8.16,"上海","文科",0.0719033232628399,3,817.721707718129,10000,54
"477",2012,10593,4.94,"广西","文科",0.0269788519637462,5,252.333046286329,10000,59
"478",2012,10272,5.92,"上海","文科",0.0676737160120846,11,817.721707718129,10000,32
"479",2012,10755,5.48,"新疆","文科",NA,2,299.271973233245,10000,59
"480",2012,10487,34.56,"湖北","文科",0.150151057401813,19,340.956234803751,10000,50
"481",2012,10276,1.3,"上海","文科",0.0256495468277946,23,817.721707718129,10000,49
"482",2012,10271,2.86,"上海","文科",0.0283987915407855,5,817.721707718129,10000,36
"483",2012,10290,12.25,"江苏","文科",0.0241087613293051,2,621.743376782527,10000,59
"484",2012,10300,1.24,"江苏","文科",NA,6,621.743376782527,10000,59
"485",2012,10291,4.77,"江苏","文科",0.0241087613293051,9,621.743376782527,10000,59
"486",2012,10246,55.57,"上海","文科",0.453172205438066,12,817.721707718129,10000,6
"487",2012,10034,4.9,"北京","文科",0.242900302114804,23,805.108986426236,10000,30
"488",2012,10284,42.9,"江苏","文科",0.169184290030211,16,621.743376782527,10000,20
"489",2012,10019,19.6,"北京","文科",0.0921148036253776,5,805.108986426236,10000,54
"490",2012,10052,5.92,"北京","文科",0.0374622356495468,7,805.108986426236,10000,51
"491",2012,10003,96.18,"北京","文科",0.898972809667674,4,805.108986426236,10000,1
"492",2012,10126,5.82,"内蒙古","文科",NA,6,578.628445708806,10000,59
"493",2012,10031,NA,"北京","文科",NA,11,805.108986426236,10000,47
"494",2012,10294,8.95,"江苏","文科",NA,8,621.743376782527,10000,56
"495",2012,10054,4.6,"北京","文科",NA,8,805.108986426236,10000,55
"496",2012,11414,11.26,"北京","文科",0.0537764350453172,3,805.108986426236,10000,52
"497",2012,11415,11.85,"北京","文科",0.0368580060422961,4,805.108986426236,10000,54
"498",2012,10295,6.11,"江苏","文科",NA,8,621.743376782527,10000,57
"499",2012,10036,3.89,"北京","文科",0.0450151057401813,33,805.108986426236,10000,34
"500",2012,19002,36.61,"江苏","文科",0.578851963746224,6,621.743376782527,10000,46
